X Y Z Strain_XX Strain_XY Strain_YY
0.133333 0.133333 0 -0.0121885 -9.37708e-05 0.104171
0.2 0.133333 0 -0.0121595 -6.7268e-05 0.104213
0.266667 0.133333 0 -0.0121484 -4.40807e-05 0.104228
0.333333 0.133333 0 -0.0121433 -2.82843e-05 0.104231
0.4 0.133333 0 -0.0121367 -1.6621e-05 0.104232
0.466667 0.133333 0 -0.0121346 -3.08064e-06 0.104232
0.533333 0.133333 0 -0.0121346 3.59104e-06 0.104231
0.6 0.133333 0 -0.0121368 1.72493e-05 0.104232
0.666667 0.133333 0 -0.0121435 2.9117e-05 0.10423
0.733333 0.133333 0 -0.0121485 4.51492e-05 0.104227
0.8 0.133333 0 -0.0121597 6.93891e-05 0.104213
0.866667 0.133333 0 -0.0121888 9.48722e-05 0.104172
0.133333 0.2 0 -0.0117834 -2.81317e-05 0.104247
0.2 0.2 0 -0.011771 -3.74952e-05 0.104262
0.266667 0.2 0 -0.011779 -4.05266e-05 0.104268
0.333333 0.2 0 -0.0117812 -2.77374e-05 0.104276
0.4 0.2 0 -0.0117814 -1.43128e-05 0.104275
0.466667 0.2 0 -0.0117811 -3.55957e-06 0.104271
0.533333 0.2 0 -0.0117811 3.96596e-06 0.10427
0.6 0.2 0 -0.0117812 1.46893e-05 0.104275
0.666667 0.2 0 -0.0117807 2.80943e-05 0.104275
0.733333 0.2 0 -0.0117777 4.02948e-05 0.104267
0.8 0.2 0 -0.0117676 4.14808e-05 0.104254
0.866667 0.2 0 -0.0117805 2.90527e-05 0.104242
0.133333 0.266667 0 -0.0108691 -3.00434e-05 0.104596
0.2 0.266667 0 -0.0109474 -3.41162e-05 0.104587
0.266667 0.266667 0 -0.0109667 -3.16373e-05 0.104592
0.333333 0.266667 0 -0.0109708 -2.48335e-05 0.104592
0.4 0.266667 0 -0.0109786 -1.58023e-05 0.104597
0.466667 0.266667 0 -0.0109778 -4.96009e-06 0.104595
0.533333 0.266667 0 -0.0109777 5.25853e-06 0.104595
0.6 0.266667 0 -0.0109784 1.58838e-05 0.104597
0.666667 0.266667 0 -0.0109704 2.48281e-05 0.104592
0.733333 0.266667 0 -0.010966 3.14982e-05 0.104592
0.8 0.266667 0 -0.0109469 3.26991e-05 0.104586
0.866667 0.266667 0 -0.0108687 2.76456e-05 0.104596
0.133333 0.333333 0 -0.011771 -3.00577e-05 0.104141
0.2 0.333333 0 -0.0117481 -3.2112e-05 0.104139
0.266667 0.333333 0 -0.0117577 -2.16204e-05 0.104137
0.333333 0.333333 0 -0.0117649 -1.80292e-05 0.104139
0.4 0.333333 0 -0.0117711 -1.32766e-05 0.104139
0.466667 0.333333 0 -0.0117739 1.27624e-06 0.104142
0.533333 0.333333 0 -0.0117738 -1.0887e-06 0.104142
0.6 0.333333 0 -0.011771 1.34047e-05 0.104139
0.666667 0.333333 0 -0.0117647 1.83451e-05 0.104139
0.733333 0.333333 0 -0.0117578 2.13107e-05 0.104137
0.8 0.333333 0 -0.0117502 2.59351e-05 0.104135
0.866667 0.333333 0 -0.011773 2.60432e-05 0.104152
0.133333 0.4 0 -0.0120002 1.86049e-06 0.103878
0.2 0.4 0 -0.011971 -6.84603e-06 0.103877
0.266667 0.4 0 -0.0119716 -1.49364e-05 0.103877
0.333333 0.4 0 -0.0119791 -9.58417e-06 0.103868
0.4 0.4 0 -0.0119857 -1.80441e-06 0.103876
0.466667 0.4 0 -0.0119895 -4.47178e-06 0.103874
0.533333 0.4 0 -0.0119895 4.59004e-06 0.103874
0.6 0.4 0 -0.0119855 1.87002e-06 0.103876
0.666667 0.4 0 -0.0119787 9.5693e-06 0.103868
0.733333 0.4 0 -0.0119708 1.5121e-05 0.103876
0.8 0.4 0 -0.01197 8.62496e-06 0.103877
0.866667 0.4 0 -0.0119989 -2.34887e-07 0.103876
0.133333 0.466667 0 -0.0111981 1.42671e-05 0.104494
0.2 0.466667 0 -0.0112281 8.80243e-07 0.104468
0.266667 0.466667 0 -0.0112351 -2.55748e-06 0.104458
0.333333 0.466667 0 -0.0112414 -2.92255e-06 0.104454
0.4 0.466667 0 -0.0112464 -1.57665e-06 0.104453
0.466667 0.466667 0 -0.0112496 -1.40652e-06 0.104452
0.533333 0.466667 0 -0.0112496 1.47788e-06 0.104452
0.6 0.466667 0 -0.0112463 1.61993e-06 0.104453
0.666667 0.466667 0 -0.0112411 2.61828e-06 0.104454
0.733333 0.466667 0 -0.0112346 1.87995e-06 0.104457
0.8 0.466667 0 -0.0112267 -1.90562e-06 0.104466
0.866667 0.466667 0 -0.0111969 -1.76091e-05 0.104495
0.133333 0.533333 0 -0.0111969 -1.76091e-05 0.104495
0.2 0.533333 0 -0.0112267 -1.90381e-06 0.104466
0.266667 0.533333 0 -0.0112346 1.87995e-06 0.104457
0.333333 0.533333 0 -0.0112411 2.61828e-06 0.104454
0.4 0.533333 0 -0.0112463 1.61994e-06 0.104453
0.466667 0.533333 0 -0.0112496 1.47788e-06 0.104452
0.533333 0.533333 0 -0.0112496 -1.40652e-06 0.104452
0.6 0.533333 0 -0.0112464 -1.57665e-06 0.104453
0.666667 0.533333 0 -0.0112414 -2.92256e-06 0.104454
0.733333 0.533333 0 -0.0112351 -2.55748e-06 0.104458
0.8 0.533333 0 -0.0112281 8.80372e-07 0.104468
0.866667 0.533333 0 -0.0111981 1.42671e-05 0.104494
0.133333 0.6 0 -0.0119989 -2.34887e-07 0.103876
0.2 0.6 0 -0.01197 8.62569e-06 0.103877
0.266667 0.6 0 -0.0119708 1.5121e-05 0.103876
0.333333 0.6 0 -0.0119787 9.5693e-06 0.103868
0.4 0.6 0 -0.0119855 1.87002e-06 0.103876
0.466667 0.6 0 -0.0119895 4.59004e-06 0.103874
0.533333 0.6 0 -0.0119895 -4.47178e-06 0.103874
0.6 0.6 0 -0.0119857 -1.80441e-06 0.103876
0.666667 0.6 0 -0.0119791 -9.58417e-06 0.103868
0.733333 0.6 0 -0.0119716 -1.49364e-05 0.103877
0.8 0.6 0 -0.011971 -6.85207e-06 0.103877
0.866667 0.6 0 -0.0120002 1.86049e-06 0.103878
0.133333 0.666667 0 -0.011773 2.60432e-05 0.104152
0.2 0.666667 0 -0.0117502 2.59351e-05 0.104135
0.266667 0.666667 0 -0.0117578 2.13107e-05 0.104137
0.333333 0.666667 0 -0.0117647 1.83451e-05 0.104139
0.4 0.666667 0 -0.011771 1.34047e-05 0.104139
0.466667 0.666667 0 -0.0117738 -1.0887e-06 0.104142
0.533333 0.666667 0 -0.0117739 1.27624e-06 0.104142
0.6 0.666667 0 -0.0117711 -1.32766e-05 0.104139
0.666667 0.666667 0 -0.0117649 -1.80292e-05 0.104139
0.733333 0.666667 0 -0.0117577 -2.16204e-05 0.104137
0.8 0.666667 0 -0.0117481 -3.21078e-05 0.104139
