X Y Z Strain_XX Strain_XY Strain_YY
0.133333 0.133333 0 -0.0116441 -6.26598e-05 0.102021
0.2 0.133333 0 -0.0116397 -5.27443e-05 0.102038
0.266667 0.133333 0 -0.0116431 -3.85736e-05 0.102047
0.333333 0.133333 0 -0.0116328 -2.44846e-05 0.10205
0.4 0.133333 0 -0.0116282 -1.3585e-05 0.10205
0.466667 0.133333 0 -0.0116254 -4.22563e-06 0.10205
0.533333 0.133333 0 -0.0116254 4.66547e-06 0.102049
0.6 0.133333 0 -0.0116282 1.41222e-05 0.10205
0.666667 0.133333 0 -0.0116328 2.52311e-05 0.10205
0.733333 0.133333 0 -0.0116429 3.94831e-05 0.102047
0.8 0.133333 0 -0.0116385 5.35946e-05 0.102037
0.866667 0.133333 0 -0.0116427 6.32407e-05 0.102021
0.133333 0.2 0 -0.0115888 -3.55963e-05 0.105017
0.2 0.2 0 -0.0115947 -4.37097e-05 0.105019
0.266667 0.2 0 -0.0116074 -3.65328e-05 0.105027
0.333333 0.2 0 -0.0116078 -2.6646e-05 0.105031
0.4 0.2 0 -0.0116087 -1.53344e-05 0.105033
0.466667 0.2 0 -0.0116085 -4.92355e-06 0.105033
0.533333 0.2 0 -0.0116085 5.32022e-06 0.105033
0.6 0.2 0 -0.0116085 1.57222e-05 0.105033
0.666667 0.2 0 -0.0116072 2.69895e-05 0.105031
0.733333 0.2 0 -0.0116064 3.64647e-05 0.105026
0.8 0.2 0 -0.0115921 4.29473e-05 0.105018
0.866667 0.2 0 -0.0115889 3.64025e-05 0.105017
0.133333 0.266667 0 -0.0115777 -3.00631e-05 0.10502
0.2 0.266667 0 -0.011569 -3.45015e-05 0.105015
0.266667 0.266667 0 -0.0115803 -3.03555e-05 0.105017
0.333333 0.266667 0 -0.0115856 -2.36094e-05 0.10502
0.4 0.266667 0 -0.0115894 -1.41548e-05 0.105022
0.466667 0.266667 0 -0.0115909 -4.76383e-06 0.105023
0.533333 0.266667 0 -0.0115908 5.04764e-06 0.105023
0.6 0.266667 0 -0.0115892 1.43733e-05 0.105022
0.666667 0.266667 0 -0.0115852 2.36474e-05 0.10502
0.733333 0.266667 0 -0.0115798 2.97312e-05 0.105016
0.8 0.266667 0 -0.0115682 3.13558e-05 0.105015
0.866667 0.266667 0 -0.0115776 2.22542e-05 0.105021
0.133333 0.333333 0 -0.0115467 -1.98517e-05 0.105029
0.2 0.333333 0 -0.0115447 -2.3406e-05 0.105016
0.266667 0.333333 0 -0.0115588 -2.13091e-05 0.105012
0.333333 0.333333 0 -0.0115667 -1.72275e-05 0.105013
0.4 0.333333 0 -0.0115721 -1.07571e-05 0.105014
0.466667 0.333333 0 -0.0115753 -3.66755e-06 0.105015
0.533333 0.333333 0 -0.0115752 3.85631e-06 0.105015
0.6 0.333333 0 -0.0115719 1.08848e-05 0.105014
0.666667 0.333333 0 -0.0115666 1.72777e-05 0.105013
0.733333 0.333333 0 -0.0115589 2.0981e-05 0.105012
0.8 0.333333 0 -0.0115456 2.2676e-05 0.105016
0.866667 0.333333 0 -0.0115465 2.05301e-05 0.105028
0.133333 0.4 0 -0.0115382 -4.99275e-06 0.102389
0.2 0.4 0 -0.0115336 -9.47891e-06 0.102375
0.266667 0.4 0 -0.0115475 -1.04724e-05 0.102369
0.333333 0.4 0 -0.0115546 -9.35633e-06 0.102367
0.4 0.4 0 -0.0115605 -6.1951e-06 0.102367
0.466667 0.4 0 -0.0115641 -2.13895e-06 0.102367
0.533333 0.4 0 -0.0115641 2.25259e-06 0.102367
0.6 0.4 0 -0.0115604 6.26997e-06 0.102367
0.666667 0.4 0 -0.0115545 9.42071e-06 0.102367
0.733333 0.4 0 -0.0115471 1.0514e-05 0.102369
0.8 0.4 0 -0.011533 9.58029e-06 0.102374
0.866667 0.4 0 -0.0115387 5.57343e-06 0.102389
0.133333 0.466667 0 -0.0115487 9.23663e-06 0.105033
0.2 0.466667 0 -0.0115357 5.66945e-07 0.105018
0.266667 0.466667 0 -0.0115442 -2.17588e-06 0.10501
0.333333 0.466667 0 -0.0115491 -2.36106e-06 0.105006
0.4 0.466667 0 -0.0115552 -1.80479e-06 0.105006
0.466667 0.466667 0 -0.0115584 -5.75304e-07 0.105006
0.533333 0.466667 0 -0.0115584 6.57834e-07 0.105006
0.6 0.466667 0 -0.0115552 1.83983e-06 0.105006
0.666667 0.466667 0 -0.011549 2.3369e-06 0.105006
0.733333 0.466667 0 -0.0115439 1.84305e-06 0.10501
0.8 0.466667 0 -0.0115343 -1.08654e-06 0.105018
0.866667 0.466667 0 -0.0115463 -6.68728e-06 0.105034
0.133333 0.533333 0 -0.0115463 -6.68728e-06 0.105034
0.2 0.533333 0 -0.0115343 -1.08654e-06 0.105018
0.266667 0.533333 0 -0.0115439 1.84305e-06 0.10501
0.333333 0.533333 0 -0.011549 2.33691e-06 0.105006
0.4 0.533333 0 -0.0115552 1.83983e-06 0.105006
0.466667 0.533333 0 -0.0115584 6.57834e-07 0.105006
0.533333 0.533333 0 -0.0115584 -5.75304e-07 0.105006
0.6 0.533333 0 -0.0115552 -1.80479e-06 0.105006
0.666667 0.533333 0 -0.0115491 -2.36106e-06 0.105006
0.733333 0.533333 0 -0.0115442 -2.17588e-06 0.10501
0.8 0.533333 0 -0.0115357 5.66945e-07 0.105018
0.866667 0.533333 0 -0.0115487 9.23662e-06 0.105033
0.133333 0.6 0 -0.0115387 5.57343e-06 0.102389
0.2 0.6 0 -0.011533 9.58029e-06 0.102374
0.266667 0.6 0 -0.0115471 1.0514e-05 0.102369
0.333333 0.6 0 -0.0115545 9.42071e-06 0.102367
0.4 0.6 0 -0.0115604 6.26997e-06 0.102367
0.466667 0.6 0 -0.0115641 2.25259e-06 0.102367
0.533333 0.6 0 -0.0115641 -2.13895e-06 0.102367
0.6 0.6 0 -0.0115605 -6.1951e-06 0.102367
0.666667 0.6 0 -0.0115546 -9.35634e-06 0.102367
0.733333 0.6 0 -0.0115475 -1.04724e-05 0.102369
0.8 0.6 0 -0.0115336 -9.47891e-06 0.102375
0.866667 0.6 0 -0.0115382 -4.99275e-06 0.102389
0.133333 0.666667 0 -0.0115465 2.05301e-05 0.105028
0.2 0.666667 0 -0.0115456 2.2676e-05 0.105016
0.266667 0.666667 0 -0.0115589 2.0981e-05 0.105012
0.333333 0.666667 0 -0.0115666 1.72777e-05 0.105013
0.4 0.666667 0 -0.0115719 1.08848e-05 0.105014
0.466667 0.666667 0 -0.0115752 3.85631e-06 0.105015
0.533333 0.666667 0 -0.0115753 -3.66755e-06 0.105015
0.6 0.666667 0 -0.0115721 -1.07571e-05 0.105014
0.666667 0.666667 0 -0.0115667 -1.72275e-05 0.105013
0.733333 0.666667 0 -0.0115588 -2.13091e-05 0.105012
0.8 0.666667 0 -0.0115447 -2.3406e-05 0.105016
0.866667 0.666667 0 -0.0115467 -1.98517e-05 0.105029
0.133333 0.733333 0 -0.0115776 2.22542e-05 0.105021
0.2 0.733333 0 -0.0115682 3.13558e-05 0.105015
0.266667 0.733333 0 -0.0115798 2.97312e-05 0.105016
0.333333 0.733333 0 -0.0115852 2.36474e-05 0.10502
0.4 0.733333 0 -0.0115892 1.43733e-05 0.105022
0.466667 0.733333 0 -0.0115908 5.04764e-06 0.105023
0.533333 0.733333 0 -0.0115909 -4.76383e-06 0.105023
0.6 0.733333 0 -0.0115894 -1.41548e-05 0.105022
0.666667 0.733333 0 -0.0115856 -2.36094e-05 0.10502
0.733333 0.733333 0 -0.0115803 -3.03555e-05 0.105017
0.8 0.733333 0 -0.011569 -3.45015e-05 0.105015
0.866667 0.733333 0 -0.0115777 -3.00631e-05 0.10502
0.133333 0.8 0 -0.0115889 3.64025e-05 0.105017
0.2 0.8 0 -0.0115921 4.29473e-05 0.105018
0.266667 0.8 0 -0.0116064 3.64647e-05 0.105026
0.333333 0.8 0 -0.0116072 2.69895e-05 0.105031
0.4 0.8 0 -0.0116085 1.57222e-05 0.105033
0.466667 0.8 0 -0.0116085 5.32022e-06 0.105033
0.533333 0.8 0 -0.0116085 -4.92355e-06 0.105033
0.6 0.8 0 -0.0116087 -1.53344e-05 0.105033
0.666667 0.8 0 -0.0116078 -2.6646e-05 0.105031
0.733333 0.8 0 -0.0116074 -3.65328e-05 0.105027
0.8 0.8 0 -0.0115947 -4.37097e-05 0.105019
0.866667 0.8 0 -0.0115888 -3.55963e-05 0.105017
0.133333 0.866667 0 -0.0116427 6.32407e-05 0.102021
0.2 0.866667 0 -0.0116385 5.35946e-05 0.102037
0.266667 0.866667 0 -0.0116429 3.94831e-05 0.102047
0.333333 0.866667 0 -0.0116328 2.52311e-05 0.10205
0.4 0.866667 0 -0.0116282 1.41222e-05 0.10205
0.466667 0.866667 0 -0.0116254 4.66547e-06 0.102049
0.533333 0.866667 0 -0.0116254 -4.22563e-06 0.10205
0.6 0.866667 0 -0.0116282 -1.3585e-05 0.10205
0.666667 0.866667 0 -0.0116328 -2.44846e-05 0.10205
0.733333 0.866667 0 -0.0116431 -3.85736e-05 0.102047
0.8 0.866667 0 -0.0116397 -5.27443e-05 0.102038
0.866667 0.866667 0 -0.0116441 -6.26598e-05 0.102021
