X Y Z Stress_XX Stress_XY Stress_YY
0.133333 0.133333 0 -380.467 -150.704 251481
0.2 0.133333 0 -420.129 -101.918 251475
0.266667 0.133333 0 -413.078 -87.1949 251473
0.333333 0.133333 0 -396.477 -51.8451 251476
0.4 0.133333 0 -392.865 -26.721 251475
0.466667 0.133333 0 -386.112 -11.5075 251476
0.533333 0.133333 0 -386.108 12.4464 251475
0.6 0.133333 0 -393.053 27.7511 251474
0.666667 0.133333 0 -395.932 52.7529 251476
0.733333 0.133333 0 -411.596 87.2974 251472
0.8 0.133333 0 -417.051 98.5409 251475
0.866667 0.133333 0 -382.155 155.196 251471
0.133333 0.2 0 -218.936 -79.3458 251222
0.2 0.2 0 -249.856 -80.9586 251184
0.266667 0.2 0 -245.72 -71.63 251197
0.333333 0.2 0 -264.684 -52.9382 251200
0.4 0.2 0 -250.48 -31.4918 251207
0.466667 0.2 0 -260.147 -9.64096 251207
0.533333 0.2 0 -260.084 10.4453 251207
0.6 0.2 0 -250.203 32.2482 251206
0.666667 0.2 0 -263.664 53.7388 251199
0.733333 0.2 0 -243.511 72.2016 251196
0.8 0.2 0 -250.747 76.014 251184
0.866667 0.2 0 -209.643 70.3137 251230
0.133333 0.266667 0 126.907 -65.6104 249431
0.2 0.266667 0 94.3338 -65.6567 249517
0.266667 0.266667 0 82.6177 -58.4817 249537
0.333333 0.266667 0 70.9971 -43.9856 249546
0.4 0.266667 0 63.463 -27.1516 249549
0.466667 0.266667 0 58.7736 -8.1487 249550
0.533333 0.266667 0 58.8418 8.72671 249550
0.6 0.266667 0 63.8322 27.6103 249549
0.666667 0.266667 0 71.6489 44.3491 249545
0.733333 0.266667 0 83.3948 59.423 249536
0.8 0.266667 0 95.9013 58.5547 249517
0.866667 0.266667 0 128.264 56.6781 249432
0.133333 0.333333 0 -124.597 -60.8117 251302
0.2 0.333333 0 -162.676 -50.5926 251240
0.266667 0.333333 0 -187.065 -40.4711 251224
0.333333 0.333333 0 -193.076 -34.1677 251220
0.4 0.333333 0 -217.641 -21.3169 251218
0.466667 0.333333 0 -215.246 -7.62892 251220
0.533333 0.333333 0 -215.169 8.00488 251220
0.6 0.333333 0 -217.351 21.5833 251218
0.666667 0.333333 0 -192.786 34.4357 251220
0.733333 0.333333 0 -187.171 40.5936 251223
0.8 0.333333 0 -168.475 49.6105 251240
0.866667 0.333333 0 -125.149 51.785 251300
0.133333 0.4 0 -217.498 2.37449 251526
0.2 0.4 0 -253.279 -18.8286 251457
0.266667 0.4 0 -269.665 -21.219 251429
0.333333 0.4 0 -295.198 -18.1906 251416
0.4 0.4 0 -307.363 -11.6434 251413
0.466667 0.4 0 -314.999 -5.14583 251411
0.533333 0.4 0 -314.928 5.38101 251411
0.6 0.4 0 -307.238 11.7544 251412
0.666667 0.4 0 -294.862 17.8637 251416
0.733333 0.4 0 -269.352 19.883 251429
0.8 0.4 0 -252.845 15.6056 251457
0.866667 0.4 0 -208.293 -0.202365 251533
