X Y Z Stress_XX Stress_XY Stress_YY
0.133333 0.133333 0 -857.017 -137.579 251220
0.2 0.133333 0 -845.001 -118.269 251260
0.266667 0.133333 0 -853.73 -86.7733 251284
0.333333 0.133333 0 -828.573 -55.2015 251294
0.4 0.133333 0 -817.432 -30.6457 251295
0.466667 0.133333 0 -810.693 -9.52891 251295
0.533333 0.133333 0 -810.835 10.5191 251295
0.6 0.133333 0 -817.521 31.8529 251295
0.666667 0.133333 0 -828.513 56.874 251293
0.733333 0.133333 0 -853.255 88.8677 251282
0.8 0.133333 0 -842.056 120.342 251258
0.866667 0.133333 0 -854.075 138.99 251219
0.133333 0.2 0 18.6107 -77.8987 250625
0.2 0.2 0 1.81615 -95.029 250631
0.266667 0.2 0 -28.2732 -79.187 250648
0.333333 0.2 0 -27.468 -57.468 250658
0.4 0.2 0 -29.054 -33.0238 250662
0.466667 0.2 0 -28.2472 -10.5586 250663
0.533333 0.2 0 -28.1793 11.4257 250663
0.6 0.2 0 -28.6102 33.8862 250661
0.666667 0.2 0 -26.3154 58.2736 250657
0.733333 0.2 0 -25.921 79.2871 250646
0.8 0.2 0 8.33623 93.985 250629
0.866667 0.2 0 18.1552 80.0898 250626
0.133333 0.266667 0 47.7515 -65.3231 250637
0.2 0.266667 0 66.6051 -74.1013 250628
0.266667 0.266667 0 38.1415 -65.1477 250629
0.333333 0.266667 0 26.2387 -50.5666 250637
0.4 0.266667 0 17.4503 -30.343 250641
0.466667 0.266667 0 13.9718 -10.1956 250642
0.533333 0.266667 0 14.1017 10.8062 250642
0.6 0.266667 0 17.8342 30.8205 250640
0.666667 0.266667 0 26.9726 50.678 250636
0.733333 0.266667 0 39.114 63.9837 250628
0.8 0.266667 0 68.5881 67.6407 250628
0.866667 0.266667 0 48.3148 47.9347 250639
0.133333 0.333333 0 129.464 -42.1154 250667
0.2 0.333333 0 128.818 -48.8841 250636
0.266667 0.333333 0 91.8862 -44.5876 250624
0.333333 0.333333 0 72.1415 -36.0622 250622
0.4 0.333333 0 59.2555 -22.621 250624
0.466667 0.333333 0 51.5055 -7.70404 250624
0.533333 0.333333 0 51.6038 8.09863 250624
0.6 0.333333 0 59.5073 22.892 250623
0.666667 0.333333 0 72.4837 36.2013 250622
0.733333 0.333333 0 91.508 44.0969 250624
0.8 0.333333 0 126.573 47.914 250636
0.866667 0.333333 0 129.796 44.0162 250667
0.133333 0.4 0 -507.425 -11.2979 251214
0.2 0.4 0 -501.149 -21.4155 251181
0.266667 0.4 0 -538.664 -23.763 251163
0.333333 0.4 0 -557.296 -21.2625 251157
0.4 0.4 0 -572.081 -14.0804 251155
0.466667 0.4 0 -580.983 -4.86328 251156
0.533333 0.4 0 -580.916 5.11771 251155
0.6 0.4 0 -571.874 14.2525 251155
0.666667 0.4 0 -556.935 21.4287 251157
0.733333 0.4 0 -537.821 23.9833 251163
0.8 0.4 0 -499.957 21.9818 251181
0.866667 0.4 0 -508.425 12.7882 251215
0.133333 0.466667 0 123.016 21.1629 250675
0.2 0.466667 0 148.666 1.62439 250644
0.266667 0.466667 0 124.118 -4.81926 250621
0.333333 0.466667 0 110.926 -5.3461 250612
0.4 0.466667 0 95.6134 -4.09977 250609
0.466667 0.466667 0 87.886 -1.31134 250608
0.533333 0.466667 0 87.9052 1.49125 250608
0.6 0.466667 0 95.6884 4.18345 250609
0.666667 0.466667 0 111.123 5.33108 250612
0.733333 0.466667 0 124.845 4.31467 250621
0.8 0.466667 0 152.19 -2.13353 250643
0.866667 0.466667 0 129.47 -15.0278 250678
0.133333 0.533333 0 129.47 -15.0278 250678
0.2 0.533333 0 152.19 -2.13353 250643
0.266667 0.533333 0 124.845 4.31467 250621
0.333333 0.533333 0 111.123 5.33108 250612
0.4 0.533333 0 95.6884 4.18345 250609
0.466667 0.533333 0 87.9052 1.49125 250608
0.533333 0.533333 0 87.886 -1.31134 250608
0.6 0.533333 0 95.6134 -4.09977 250609
0.666667 0.533333 0 110.926 -5.3461 250612
0.733333 0.533333 0 124.118 -4.81926 250621
0.8 0.533333 0 148.666 1.62439 250644
0.866667 0.533333 0 123.016 21.1629 250675
0.133333 0.6 0 -508.425 12.7882 251215
0.2 0.6 0 -499.957 21.9818 251181
0.266667 0.6 0 -537.821 23.9833 251163
0.333333 0.6 0 -556.935 21.4287 251157
0.4 0.6 0 -571.874 14.2525 251155
0.466667 0.6 0 -580.916 5.11771 251155
0.533333 0.6 0 -580.983 -4.86328 251156
0.6 0.6 0 -572.081 -14.0804 251155
0.666667 0.6 0 -557.296 -21.2625 251157
0.733333 0.6 0 -538.664 -23.763 251163
0.8 0.6 0 -501.149 -21.4155 251181
0.866667 0.6 0 -507.425 -11.2979 251214
0.133333 0.666667 0 129.796 44.0162 250667
0.2 0.666667 0 126.573 47.914 250636
0.266667 0.666667 0 91.508 44.0969 250624
0.333333 0.666667 0 72.4837 36.2013 250622
0.4 0.666667 0 59.5073 22.892 250623
0.466667 0.666667 0 51.6038 8.09863 250624
