X Y Z Strain_XX Strain_XY Strain_YY
0.133333 0.133333 0 -0.12722 -0.00799897 0.131601
0.2 0.133333 0 -0.128726 -0.00785867 0.134007
0.266667 0.133333 0 -0.129486 -0.00660817 0.135205
0.333333 0.133333 0 -0.129563 -0.00492718 0.135474
0.4 0.133333 0 -0.129538 -0.00303201 0.13563
0.466667 0.133333 0 -0.129405 -0.000948519 0.135582
0.533333 0.133333 0 -0.129405 0.000948455 0.135582
0.6 0.133333 0 -0.129538 0.003032 0.13563
0.666667 0.133333 0 -0.129563 0.00492715 0.135474
0.733333 0.133333 0 -0.129486 0.00660816 0.135205
0.8 0.133333 0 -0.128726 0.00785865 0.134007
0.866667 0.133333 0 -0.12722 0.00799893 0.131601
0.133333 0.2 0 -0.121775 -0.00912255 0.126247
0.2 0.2 0 -0.123473 -0.0092488 0.128545
0.266667 0.2 0 -0.124551 -0.00801906 0.129927
0.333333 0.2 0 -0.125081 -0.00608093 0.130616
0.4 0.2 0 -0.125217 -0.00378806 0.130857
0.466667 0.2 0 -0.125268 -0.00123227 0.130977
0.533333 0.2 0 -0.125268 0.00123226 0.130977
0.6 0.2 0 -0.125217 0.00378808 0.130857
0.666667 0.2 0 -0.125081 0.00608093 0.130616
0.733333 0.2 0 -0.124551 0.00801908 0.129927
0.8 0.2 0 -0.123473 0.00924881 0.128545
0.866667 0.2 0 -0.121775 0.00912254 0.126248
0.133333 0.266667 0 -0.11601 -0.00924614 0.120484
0.2 0.266667 0 -0.117598 -0.00972723 0.1224
0.266667 0.266667 0 -0.11882 -0.00876224 0.123794
0.333333 0.266667 0 -0.119498 -0.00679561 0.124579
0.4 0.266667 0 -0.119893 -0.00430009 0.125045
0.466667 0.266667 0 -0.120001 -0.00139627 0.125188
0.533333 0.266667 0 -0.120001 0.00139624 0.125188
0.6 0.266667 0 -0.119893 0.00430009 0.125045
0.666667 0.266667 0 -0.119499 0.00679561 0.124579
0.733333 0.266667 0 -0.11882 0.00876224 0.123794
0.8 0.266667 0 -0.117598 0.00972722 0.1224
0.866667 0.266667 0 -0.11601 0.00924612 0.120484
0.133333 0.333333 0 -0.110528 -0.00870657 0.114915
0.2 0.333333 0 -0.111668 -0.00942506 0.11618
0.266667 0.333333 0 -0.112705 -0.00872846 0.117305
0.333333 0.333333 0 -0.113441 -0.00691003 0.118084
0.4 0.333333 0 -0.113866 -0.00442617 0.118556
0.466667 0.333333 0 -0.114056 -0.0014401 0.118762
0.533333 0.333333 0 -0.114056 0.00144009 0.118762
0.6 0.333333 0 -0.113866 0.00442617 0.118556
0.666667 0.333333 0 -0.113441 0.00691003 0.118084
0.733333 0.333333 0 -0.112705 0.00872846 0.117305
0.8 0.333333 0 -0.111668 0.00942506 0.11618
0.866667 0.333333 0 -0.110528 0.00870655 0.114915
0.133333 0.4 0 -0.105367 -0.00787843 0.109665
0.2 0.4 0 -0.106034 -0.00872893 0.110284
0.266667 0.4 0 -0.10668 -0.0082643 0.110943
0.333333 0.4 0 -0.107293 -0.0066485 0.111578
0.4 0.4 0 -0.107621 -0.00432437 0.111915
0.466667 0.4 0 -0.10783 -0.00141862 0.112131
0.533333 0.4 0 -0.10783 0.00141861 0.112131
0.6 0.4 0 -0.107621 0.00432437 0.111915
0.666667 0.4 0 -0.107293 0.0066485 0.111578
0.733333 0.4 0 -0.10668 0.0082643 0.110943
0.8 0.4 0 -0.106035 0.00872893 0.110284
0.866667 0.4 0 -0.105367 0.00787842 0.109665
0.133333 0.466667 0 -0.100595 -0.00694996 0.104815
0.2 0.466667 0 -0.100696 -0.00782329 0.104736
0.266667 0.466667 0 -0.100985 -0.00753787 0.104983
0.333333 0.466667 0 -0.101238 -0.00612601 0.105217
0.4 0.466667 0 -0.101516 -0.00400911 0.105494
0.466667 0.466667 0 -0.101619 -0.00132948 0.10558
0.533333 0.466667 0 -0.101619 0.00132944 0.10558
0.6 0.466667 0 -0.101516 0.00400908 0.105494
0.666667 0.466667 0 -0.101238 0.00612599 0.105217
0.733333 0.466667 0 -0.100985 0.00753784 0.104983
0.8 0.466667 0 -0.100696 0.00782327 0.104736
0.866667 0.466667 0 -0.100595 0.0069499 0.104815
0.133333 0.533333 0 -0.0962031 -0.00615547 0.100328
0.2 0.533333 0 -0.0958083 -0.00697983 0.0996701
0.266667 0.533333 0 -0.0955885 -0.00677765 0.0993481
0.333333 0.533333 0 -0.0956327 -0.00554166 0.0993686
0.4 0.533333 0 -0.0956337 -0.00364343 0.0993336
0.466667 0.533333 0 -0.0957143 -0.00119347 0.0994014
0.533333 0.533333 0 -0.0957143 0.00119353 0.0994014
0.6 0.533333 0 -0.0956337 0.00364349 0.0993337
0.666667 0.533333 0 -0.0956327 0.00554166 0.0993686
0.733333 0.533333 0 -0.0955885 0.00677768 0.0993481
0.8 0.533333 0 -0.0958083 0.00697986 0.09967
0.866667 0.533333 0 -0.0962031 0.00615548 0.100328
0.133333 0.6 0 -0.092157 -0.00539548 0.0961961
0.2 0.6 0 -0.0912754 -0.00613144 0.0949785
0.266667 0.6 0 -0.0907253 -0.00595822 0.0942888
0.333333 0.6 0 -0.0903887 -0.00487493 0.0939074
0.4 0.6 0 -0.0903014 -0.00320525 0.0937726
0.466667 0.6 0 -0.0902394 -0.00106232 0.0937013
0.533333 0.6 0 -0.0902394 0.0010623 0.0937013
0.6 0.6 0 -0.0903014 0.00320525 0.0937726
0.666667 0.6 0 -0.0903887 0.00487493 0.0939074
0.733333 0.6 0 -0.0907253 0.00595822 0.0942888
