X Y Z Strain_XX Strain_XY Strain_YY
0.133333 0.133333 0 -0.125287 -0.00750076 0.130896
0.2 0.133333 0 -0.126727 -0.00715313 0.13257
0.266667 0.133333 0 -0.127999 -0.00649932 0.134091
0.333333 0.133333 0 -0.128236 -0.004895 0.134473
0.4 0.133333 0 -0.128425 -0.00307609 0.134812
0.466667 0.133333 0 -0.128323 -0.0010068 0.134741
0.533333 0.133333 0 -0.128323 0.0010068 0.134741
0.6 0.133333 0 -0.128425 0.00307609 0.134812
0.666667 0.133333 0 -0.128236 0.004895 0.134473
0.733333 0.133333 0 -0.127999 0.00649932 0.134091
0.8 0.133333 0 -0.126727 0.00715313 0.13257
0.866667 0.133333 0 -0.125039 0.00748307 0.130628
0.133333 0.2 0 -0.121271 -0.00804657 0.126528
0.2 0.2 0 -0.122712 -0.00780425 0.12814
0.266667 0.2 0 -0.123989 -0.00727592 0.129607
0.333333 0.2 0 -0.124566 -0.00552193 0.13032
0.4 0.2 0 -0.124784 -0.00356665 0.130634
0.466667 0.2 0 -0.124841 -0.00113409 0.130735
0.533333 0.2 0 -0.124841 0.00113409 0.130735
0.6 0.2 0 -0.124784 0.00356665 0.130634
0.666667 0.2 0 -0.124566 0.00552193 0.13032
0.733333 0.2 0 -0.123989 0.00727592 0.129607
0.8 0.2 0 -0.122712 0.00780425 0.12814
0.866667 0.2 0 -0.121198 0.00798944 0.12645
0.133333 0.266667 0 -0.116103 -0.00867607 0.120932
0.2 0.266667 0 -0.117253 -0.00861767 0.122179
0.266667 0.266667 0 -0.118473 -0.00825046 0.123514
0.333333 0.266667 0 -0.1192 -0.00634921 0.124337
0.4 0.266667 0 -0.119561 -0.00416484 0.124764
0.466667 0.266667 0 -0.119704 -0.00132921 0.12494
0.533333 0.266667 0 -0.119704 0.00132921 0.12494
0.6 0.266667 0 -0.119561 0.00416484 0.124764
0.666667 0.266667 0 -0.1192 0.00634921 0.124337
0.733333 0.266667 0 -0.118473 0.00825046 0.123514
0.8 0.266667 0 -0.117253 0.00861767 0.122179
0.866667 0.266667 0 -0.116012 0.0086427 0.120835
0.133333 0.333333 0 -0.110837 -0.00828271 0.115357
0.2 0.333333 0 -0.111627 -0.00834188 0.116199
0.266667 0.333333 0 -0.112579 -0.00816333 0.117208
0.333333 0.333333 0 -0.11327 -0.00636845 0.117957
0.4 0.333333 0 -0.113681 -0.00424327 0.118406
0.466667 0.333333 0 -0.113869 -0.00135768 0.118615
0.533333 0.333333 0 -0.113869 0.00135768 0.118615
0.6 0.333333 0 -0.113681 0.00424327 0.118406
0.666667 0.333333 0 -0.11327 0.00636845 0.117957
0.733333 0.333333 0 -0.112579 0.00816333 0.117208
0.8 0.333333 0 -0.111627 0.00834188 0.116199
0.866667 0.333333 0 -0.110764 0.00821745 0.115281
0.133333 0.4 0 -0.105708 -0.00765002 0.109965
0.2 0.4 0 -0.106187 -0.00788642 0.110458
0.266667 0.4 0 -0.106725 -0.00786906 0.111011
0.333333 0.4 0 -0.107251 -0.00621595 0.111563
0.4 0.4 0 -0.107582 -0.00420027 0.111911
0.466667 0.4 0 -0.107759 -0.00134678 0.112098
0.533333 0.4 0 -0.107759 0.00134678 0.112098
0.6 0.4 0 -0.107582 0.00420027 0.111911
0.666667 0.4 0 -0.107251 0.00621595 0.111563
0.733333 0.4 0 -0.106725 0.00786906 0.111011
0.8 0.4 0 -0.106187 0.00788642 0.110458
0.866667 0.4 0 -0.105749 0.00763891 0.110008
0.133333 0.466667 0 -0.101096 -0.00686275 0.105138
0.2 0.466667 0 -0.101002 -0.00709575 0.105024
0.266667 0.466667 0 -0.101126 -0.00716473 0.105127
0.333333 0.466667 0 -0.101349 -0.00570619 0.105348
0.4 0.466667 0 -0.101566 -0.00389112 0.105562
0.466667 0.466667 0 -0.101676 -0.00124996 0.105675
0.533333 0.466667 0 -0.101676 0.00124996 0.105675
0.6 0.466667 0 -0.101566 0.00389112 0.105562
0.666667 0.466667 0 -0.101349 0.00570619 0.105348
0.733333 0.466667 0 -0.101126 0.00716473 0.105127
0.8 0.466667 0 -0.101002 0.00709575 0.105024
0.866667 0.466667 0 -0.101055 0.00680333 0.105097
0.133333 0.533333 0 -0.0965321 -0.00608855 0.100384
0.2 0.533333 0 -0.0962156 -0.00635621 0.100032
0.266667 0.533333 0 -0.0958589 -0.00646048 0.0996298
0.333333 0.533333 0 -0.0958108 -0.00516949 0.0995599
0.4 0.533333 0 -0.095814 -0.00354356 0.0995459
0.466667 0.533333 0 -0.0958526 -0.00113934 0.0995798
0.533333 0.533333 0 -0.0958526 0.00113934 0.0995798
0.6 0.533333 0 -0.095814 0.00354356 0.0995459
0.666667 0.533333 0 -0.0958108 0.00516949 0.0995599
0.733333 0.533333 0 -0.0958589 0.00646048 0.0996298
0.8 0.533333 0 -0.0962156 0.00635621 0.100032
0.866667 0.533333 0 -0.0966528 0.00605827 0.10051
0.133333 0.6 0 -0.0926365 -0.00533102 0.0963232
0.2 0.6 0 -0.0917703 -0.005576 0.0953937
0.266667 0.6 0 -0.0910533 -0.00567626 0.094609
0.333333 0.6 0 -0.0906836 -0.00454779 0.0941971
0.4 0.6 0 -0.0905442 -0.00312186 0.0940281
0.466667 0.6 0 -0.0904871 -0.00100398 0.0939591
0.533333 0.6 0 -0.0904871 0.00100398 0.0939591
0.6 0.6 0 -0.0905442 0.00312186 0.0940281
0.666667 0.6 0 -0.0906836 0.00454779 0.0941971
0.733333 0.6 0 -0.0910533 0.00567626 0.094609
0.8 0.6 0 -0.0917703 0.005576 0.0953937
0.866667 0.6 0 -0.0926307 0.00530752 0.0963179
0.133333 0.666667 0 -0.0887695 -0.00472768 0.0922988
0.2 0.666667 0 -0.0877775 -0.00488875 0.0912374
0.266667 0.666667 0 -0.0867002 -0.00493828 0.0900777
0.333333 0.666667 0 -0.0861258 -0.00393883 0.089449
0.4 0.666667 0 -0.0858205 -0.00269067 0.0891057
0.466667 0.666667 0 -0.0857075 -0.000864933 0.0889768
0.533333 0.666667 0 -0.0857075 0.000864933 0.0889768
0.6 0.666667 0 -0.0858205 0.00269067 0.0891057
0.666667 0.666667 0 -0.0861258 0.00393883 0.089449
0.733333 0.666667 0 -0.0867002 0.00493828 0.0900777
0.8 0.666667 0 -0.0877775 0.00488875 0.0912374
0.866667 0.666667 0 -0.0889159 0.00468631 0.0924531
0.133333 0.733333 0 -0.0855014 -0.00408613 0.0888897
0.2 0.733333 0 -0.0842034 -0.00420426 0.0875042
0.266667 0.733333 0 -0.0829152 -0.00419147 0.0861177
0.333333 0.733333 0 -0.0821753 -0.00331833 0.0853108
0.4 0.733333 0 -0.0817978 -0.00224836 0.0848867
0.466667 0.733333 0 -0.0816403 -0.000721876 0.0847091
0.533333 0.733333 0 -0.0816403 0.000721876 0.0847091
0.6 0.733333 0 -0.0817978 0.00224836 0.0848867
0.666667 0.733333 0 -0.0821753 0.00331833 0.0853108
0.733333 0.733333 0 -0.0829152 0.00419147 0.0861177
0.8 0.733333 0 -0.0842034 0.00420426 0.0875042
0.866667 0.733333 0 -0.0855945 0.00407664 0.0889874
0.133333 0.8 0 -0.0826115 -0.00332341 0.0858504
0.2 0.8 0 -0.0811743 -0.00334093 0.0843124
0.266667 0.8 0 -0.0797569 -0.00326763 0.0827822
0.333333 0.8 0 -0.0789604 -0.00256169 0.08191
0.4 0.8 0 -0.0785425 -0.00171751 0.0814397
0.466667 0.8 0 -0.0783696 -0.000550531 0.0812439
0.533333 0.8 0 -0.0783696 0.000550531 0.0812439
0.6 0.8 0 -0.0785425 0.00171751 0.0814397
0.666667 0.8 0 -0.0789604 0.00256169 0.08191
0.733333 0.8 0 -0.0797569 0.00326763 0.0827822
0.8 0.8 0 -0.0811743 0.00334093 0.0843124
0.866667 0.8 0 -0.0827043 0.00329267 0.0859483
0.133333 0.866667 0 -0.0804849 -0.00274926 0.083605
0.2 0.866667 0 -0.0790814 -0.00273896 0.0820965
0.266667 0.866667 0 -0.0776314 -0.00261955 0.0805232
0.333333 0.866667 0 -0.0768328 -0.00203146 0.0796436
0.4 0.866667 0 -0.0764115 -0.00134585 0.0791655
0.466667 0.866667 0 -0.0762413 -0.000430571 0.078971
0.533333 0.866667 0 -0.0762413 0.000430571 0.078971
0.6 0.866667 0 -0.0764115 0.00134585 0.0791655
0.666667 0.866667 0 -0.0768328 0.00203146 0.0796436
0.733333 0.866667 0 -0.0776314 0.00261955 0.0805232
0.8 0.866667 0 -0.0790814 0.00273896 0.0820965
0.866667 0.866667 0 -0.0806724 0.00274806 0.0838027
