X Y Z Stress_XX Stress_XY Stress_YY
0.133333 0.133333 0 22294.1 -14731.1 544885
0.2 0.133333 0 29818.9 -15717.5 561296
0.266667 0.133333 0 41991.6 -13419.1 575454
0.333333 0.133333 0 49131.7 -10005.9 585178
0.4 0.133333 0 54835.1 -6413.99 590969
0.466667 0.133333 0 57940.4 -1820.98 593877
0.533333 0.133333 0 57940.8 1820.98 593877
0.6 0.133333 0 54835.1 6413.99 590969
0.666667 0.133333 0 49131.6 10005.9 585178
0.733333 0.133333 0 41991.5 13419.1 575454
0.8 0.133333 0 29818.8 15717.5 561296
0.866667 0.133333 0 22294.2 14731.1 544885
0.133333 0.2 0 11661.9 -17776.2 550418
0.2 0.2 0 16846.3 -18280.9 564043
0.266667 0.2 0 24547.8 -16066 576642
0.333333 0.2 0 30593.7 -12422.7 584944
0.4 0.2 0 33918.6 -8020.64 590621
0.466667 0.2 0 36897.7 -2109.27 593124
0.533333 0.2 0 36897.9 2109.35 593124
0.6 0.2 0 33918.7 8020.65 590621
0.666667 0.2 0 30593.7 12422.7 584944
0.733333 0.2 0 24547.8 16066 576642
0.8 0.2 0 16846.2 18281 564043
0.866667 0.2 0 11661.9 17776.2 550418
0.133333 0.266667 0 3298.93 -20224.3 556783
0.2 0.266667 0 6753.1 -20953.6 567100
0.266667 0.266667 0 9848.9 -19493.5 574863
0.333333 0.266667 0 13880.6 -15061.2 582273
0.4 0.266667 0 16214.7 -9781.07 586602
0.466667 0.266667 0 18018.3 -2841.51 588875
0.533333 0.266667 0 18018.4 2841.57 588875
0.6 0.266667 0 16214.7 9781.07 586602
0.666667 0.266667 0 13880.7 15061.2 582273
0.733333 0.266667 0 9848.9 19493.5 574863
0.8 0.266667 0 6753.09 20953.6 567100
0.866667 0.266667 0 3298.97 20224.4 556783
0.133333 0.333333 0 -1690.69 -20051.1 564601
0.2 0.333333 0 -313.139 -21924.8 569169
0.266667 0.333333 0 309.943 -20348.6 575470
0.333333 0.333333 0 2388.77 -15926.3 579951
0.4 0.333333 0 2996.41 -10896.7 583430
0.466667 0.333333 0 3976.42 -2688.68 585060
0.533333 0.333333 0 3976.45 2688.7 585061
0.6 0.333333 0 2996.39 10896.7 583430
0.666667 0.333333 0 2388.77 15926.3 579951
0.733333 0.333333 0 309.956 20348.6 575470
0.8 0.333333 0 -313.139 21924.8 569169
0.866667 0.333333 0 -1690.66 20051.1 564601
0.133333 0.4 0 -4822.51 -20568.5 570683
0.2 0.4 0 -4701.09 -21918.7 573236
0.266667 0.4 0 -5550.85 -21054.6 575755
0.333333 0.4 0 -5806.73 -16922.2 578436
0.4 0.4 0 -5192.29 -11015 580636
0.466667 0.4 0 -5565.27 -3398.66 581584
0.533333 0.4 0 -5565.43 3398.68 581584
0.6 0.4 0 -5192.29 11015 580636
0.666667 0.4 0 -5806.65 16922.2 578436
0.733333 0.4 0 -5550.85 21054.6 575755
0.8 0.4 0 -4701.05 21918.8 573236
0.866667 0.4 0 -4822.63 20568.6 570683
0.133333 0.466667 0 -6240.64 -18901 579521
0.2 0.466667 0 -6849.43 -20708.8 576833
0.266667 0.466667 0 -9908.86 -20064 575297
0.333333 0.466667 0 -9488.64 -16312.6 575226
0.4 0.466667 0 -11518.6 -11193.8 575101
0.466667 0.466667 0 -11202.7 -2992.14 575400
0.533333 0.466667 0 -11202.7 2992.15 575400
0.6 0.466667 0 -11518.6 11193.8 575101
0.666667 0.466667 0 -9488.67 16312.6 575226
0.733333 0.466667 0 -9908.98 20064 575297
0.8 0.466667 0 -6849.44 20708.7 576833
0.866667 0.466667 0 -6240.63 18901.1 579521
0.133333 0.533333 0 -6811.04 -18010.1 584853
0.2 0.533333 0 -8337.74 -19957.3 580090
0.266667 0.533333 0 -10724.2 -19294.2 576633
0.333333 0.533333 0 -13377.3 -15879.6 574509
0.4 0.533333 0 -13325.7 -10827.7 573636
0.466667 0.533333 0 -14762.7 -2919.57 573208
0.533333 0.533333 0 -14762.7 2919.69 573208
0.6 0.533333 0 -13325.6 10827.7 573636
0.666667 0.533333 0 -13377.3 15879.6 574509
0.733333 0.533333 0 -10724.2 19294.2 576633
0.8 0.533333 0 -8337.74 19957.3 580090
0.866667 0.533333 0 -6811.1 18010.2 584853
