X Y Z Stress_XX Stress_XY Stress_YY
0.133333 0.133333 0 22714.5 -15764.7 545396
0.2 0.133333 0 30899.6 -15138.3 561462
0.266667 0.133333 0 40128 -13802.2 575590
0.333333 0.133333 0 46793.6 -10444.9 585355
0.4 0.133333 0 53343.3 -6571.96 591510
0.466667 0.133333 0 55204.9 -2148.85 594066
0.533333 0.133333 0 55204.9 2148.85 594066
0.6 0.133333 0 53343.3 6571.96 591510
0.666667 0.133333 0 46793.6 10444.9 585355
0.733333 0.133333 0 40128 13802.2 575590
0.8 0.133333 0 30899.6 15138.3 561462
0.866667 0.133333 0 22293.3 15757.4 545200
0.133333 0.2 0 14376.8 -17852.3 551917
0.2 0.2 0 19747 -17360.6 562810
0.266667 0.2 0 26451.8 -16266.7 575537
0.333333 0.2 0 32013 -12377.8 584018
0.4 0.2 0 36344.7 -8017.17 589694
0.466667 0.2 0 38392.6 -2552.01 592128
0.533333 0.2 0 38392.6 2552.01 592128
0.6 0.2 0 36344.7 8017.17 589694
0.666667 0.2 0 32013 12377.8 584018
0.733333 0.2 0 26451.8 16266.7 575537
0.8 0.2 0 19747 17360.6 562810
0.866667 0.2 0 14291.3 17703.1 550593
0.133333 0.266667 0 4236.06 -20302.5 557117
0.2 0.266667 0 6849.17 -20241.8 565765
0.266667 0.266667 0 10190.1 -19451.6 574908
0.333333 0.266667 0 13645.1 -15004.5 582069
0.4 0.266667 0 16386.4 -9867.56 586676
0.466667 0.266667 0 17747.9 -3151.79 588863
0.533333 0.266667 0 17747.9 3151.79 588863
0.6 0.266667 0 16386.4 9867.56 586676
0.666667 0.266667 0 13645.1 15004.5 582069
0.733333 0.266667 0 10190.1 19451.6 574908
0.8 0.266667 0 6849.17 20241.8 565765
0.866667 0.266667 0 4178.58 20237.9 557225
0.133333 0.333333 0 -856.178 -20647.6 564888
0.2 0.333333 0 37.5236 -20833 569453
0.266667 0.333333 0 901.653 -20448.4 575018
0.333333 0.333333 0 2474.9 -15984.5 580065
0.4 0.333333 0 3568.73 -10675 583336
0.466667 0.333333 0 4287.25 -3416.88 585031
0.533333 0.333333 0 4287.25 3416.88 585031
0.6 0.333333 0 3568.73 10675 583336
