X Y Z Strain_XX Strain_XY Strain_YY
0.166667 0.166667 0 -0.000321209 -1.96327e-05 0.00130774
0.2 0.166667 0 -0.000320619 -1.85034e-05 0.00131265
0.233333 0.166667 0 -0.000320306 -1.74413e-05 0.00131674
0.266667 0.166667 0 -0.000320253 -1.63572e-05 0.00132139
0.3 0.166667 0 -0.000320154 -1.35538e-05 0.0013246
0.333333 0.166667 0 -0.000319302 -1.09265e-05 0.00132562
0.366667 0.166667 0 -0.000318352 -7.89419e-06 0.00132702
0.4 0.166667 0 -0.0003167 -5.24282e-06 0.00132647
0.433333 0.166667 0 -0.00031558 -3.41537e-06 0.00132704
0.466667 0.166667 0 -0.000315451 -2.29715e-06 0.00132736
0.5 0.166667 0 -0.000315297 -9.34098e-07 0.00132676
0.533333 0.166667 0 -0.000315464 1.24463e-06 0.00132609
0.566667 0.166667 0 -0.000315927 4.2933e-06 0.00132479
0.6 0.166667 0 -0.000317212 7.01689e-06 0.00132534
0.633333 0.166667 0 -0.00031808 9.98281e-06 0.00132459
0.666667 0.166667 0 -0.000318452 1.24978e-05 0.00132251
0.7 0.166667 0 -0.000319592 1.49799e-05 0.0013215
0.733333 0.166667 0 -0.000320641 1.72533e-05 0.00131924
0.766667 0.166667 0 -0.000321793 1.94055e-05 0.00131699
0.8 0.166667 0 -0.000321447 2.03424e-05 0.00131176
0.833333 0.166667 0 -0.000320356 2.22529e-05 0.00130574
0.166667 0.2 0 -0.000314057 -2.12382e-05 0.00126547
0.2 0.2 0 -0.000312854 -1.96715e-05 0.00126921
0.233333 0.2 0 -0.000312097 -1.87547e-05 0.0012726
0.266667 0.2 0 -0.00031225 -1.72726e-05 0.00127582
0.3 0.2 0 -0.000312972 -1.50058e-05 0.00127914
0.333333 0.2 0 -0.000313536 -1.22585e-05 0.00128202
0.366667 0.2 0 -0.000312956 -8.95491e-06 0.00128331
0.4 0.2 0 -0.000311525 -5.96723e-06 0.00128354
0.433333 0.2 0 -0.00031018 -3.61243e-06 0.00128298
0.466667 0.2 0 -0.000309553 -1.29312e-06 0.00128325
0.5 0.2 0 -0.000309238 4.85389e-07 0.00128181
0.533333 0.2 0 -0.000309944 2.11809e-06 0.00128263
0.566667 0.2 0 -0.000311014 5.10222e-06 0.00128206
0.6 0.2 0 -0.00031215 7.59359e-06 0.00128197
0.633333 0.2 0 -0.000312819 9.94624e-06 0.00128058
0.666667 0.2 0 -0.000313297 1.28713e-05 0.0012784
0.7 0.2 0 -0.000313817 1.52623e-05 0.00127686
0.733333 0.2 0 -0.000313695 1.7508e-05 0.00127416
0.766667 0.2 0 -0.000313372 1.96606e-05 0.00127126
0.8 0.2 0 -0.000312075 2.19962e-05 0.00126578
0.833333 0.2 0 -0.000310904 2.31501e-05 0.00126064
