X Y Z Strain_XX Strain_XY Strain_YY
0.166667 0.166667 0 -0.000322858 -1.64079e-05 0.00131755
0.2 0.166667 0 -0.000320995 -1.573e-05 0.0013233
0.233333 0.166667 0 -0.000320825 -1.52655e-05 0.0013284
0.266667 0.166667 0 -0.000321779 -1.46796e-05 0.00133272
0.3 0.166667 0 -0.00032092 -1.23618e-05 0.00133565
0.333333 0.166667 0 -0.000319421 -1.02257e-05 0.00133723
0.366667 0.166667 0 -0.000319526 -7.75904e-06 0.0013374
0.4 0.166667 0 -0.000318811 -5.51636e-06 0.00133656
0.433333 0.166667 0 -0.000316879 -3.43193e-06 0.00133622
0.466667 0.166667 0 -0.0003148 -1.44523e-06 0.00133665
0.5 0.166667 0 -0.000315069 5.11109e-07 0.00133741
0.533333 0.166667 0 -0.000316162 2.05768e-06 0.00133796
0.566667 0.166667 0 -0.000317014 4.15892e-06 0.00133817
0.6 0.166667 0 -0.000317923 7.07297e-06 0.00133824
0.633333 0.166667 0 -0.000319309 1.03329e-05 0.00133763
0.666667 0.166667 0 -0.000320586 1.3038e-05 0.00133552
0.7 0.166667 0 -0.000320742 1.41488e-05 0.00133231
0.733333 0.166667 0 -0.000321752 1.59196e-05 0.00132868
0.766667 0.166667 0 -0.000321955 1.72049e-05 0.00132484
0.8 0.166667 0 -0.000321373 1.75846e-05 0.00132057
0.833333 0.166667 0 -0.000320845 1.7575e-05 0.00131511
0.166667 0.2 0 -0.000313581 -1.83507e-05 0.00125809
0.2 0.2 0 -0.000312202 -1.76705e-05 0.00126351
0.233333 0.2 0 -0.000312087 -1.67315e-05 0.00126803
0.266667 0.2 0 -0.00031296 -1.60891e-05 0.00127215
0.3 0.2 0 -0.000313023 -1.40045e-05 0.0012749
0.333333 0.2 0 -0.000312976 -1.20611e-05 0.00127624
0.366667 0.2 0 -0.000313306 -9.68337e-06 0.00127627
0.4 0.2 0 -0.00031262 -7.18573e-06 0.00127582
0.433333 0.2 0 -0.000310586 -4.58392e-06 0.00127531
0.466667 0.2 0 -0.00030861 -2.05113e-06 0.0012756
0.5 0.2 0 -0.000308381 3.45864e-07 0.00127678
0.533333 0.2 0 -0.000308934 2.25665e-06 0.00127855
0.566667 0.2 0 -0.000310398 4.58907e-06 0.00128049
0.6 0.2 0 -0.000311598 7.86896e-06 0.00128151
0.633333 0.2 0 -0.00031248 1.1216e-05 0.00128109
0.666667 0.2 0 -0.000313424 1.39834e-05 0.00127916
0.7 0.2 0 -0.00031331 1.54016e-05 0.00127602
0.733333 0.2 0 -0.000313315 1.73858e-05 0.00127198
0.766667 0.2 0 -0.000312856 1.89596e-05 0.00126752
0.8 0.2 0 -0.000312016 1.93935e-05 0.00126302
0.833333 0.2 0 -0.000310238 1.8831e-05 0.00125798
0.166667 0.233333 0 -0.000304193 -1.85404e-05 0.00121932
0.2 0.233333 0 -0.000303359 -1.87249e-05 0.00122041
0.233333 0.233333 0 -0.000302949 -1.79416e-05 0.00122099
0.266667 0.233333 0 -0.000303564 -1.69337e-05 0.0012233
0.3 0.233333 0 -0.000304175 -1.4962e-05 0.00122693
0.333333 0.233333 0 -0.000305359 -1.30284e-05 0.00123091
0.366667 0.233333 0 -0.000306088 -1.06532e-05 0.00123461
0.4 0.233333 0 -0.00030561 -8.10436e-06 0.00123628
0.433333 0.233333 0 -0.000303889 -5.5568e-06 0.00123643
0.466667 0.233333 0 -0.000302166 -2.82281e-06 0.0012352
0.5 0.233333 0 -0.000301696 -1.73731e-08 0.00123344
0.533333 0.233333 0 -0.000301456 2.10303e-06 0.00123203
