X Y Z Stress_XX Stress_XY Stress_YY
0.166667 0.166667 0 35.4604 -38.1595 4275.92
0.2 0.166667 0 24.0656 -28.5334 4270.37
0.233333 0.166667 0 35.0648 -37.0745 4288.39
0.266667 0.166667 0 49.1684 -46.6382 4306.85
0.3 0.166667 0 33.1183 -40.7655 4306.04
0.333333 0.166667 0 25.7768 -38.3692 4307.61
0.366667 0.166667 0 40.0444 -23.77 4312.84
0.4 0.166667 0 57.8547 -9.09612 4333.92
0.433333 0.166667 0 67.1159 -5.47555 4340.16
0.466667 0.166667 0 51.6246 -1.86367 4324.94
0.5 0.166667 0 54.0944 -3.9256 4312.74
0.533333 0.166667 0 61.6142 2.56991 4314.92
0.566667 0.166667 0 51.1924 16.0376 4314.63
0.6 0.166667 0 42.9487 23.8053 4308.38
0.633333 0.166667 0 34.5003 30.748 4301.51
0.666667 0.166667 0 45.6046 37.9889 4318.15
0.7 0.166667 0 43.984 36.1038 4323.6
0.733333 0.166667 0 35.9662 39.9877 4307.51
0.766667 0.166667 0 27.0563 45.9382 4284.52
0.8 0.166667 0 13.9332 47.2685 4270.96
0.833333 0.166667 0 16.1712 46.6039 4253.93
0.166667 0.2 0 18.604 -43.7984 4289.13
0.2 0.2 0 15.4766 -48.4338 4295.65
0.233333 0.2 0 19.1814 -36.787 4296.4
0.266667 0.2 0 27.8073 -45.4769 4313.68
0.3 0.2 0 23.4293 -51.8838 4323.55
0.333333 0.2 0 14.2199 -41.862 4320.1
0.366667 0.2 0 27.2021 -20.4175 4329.53
0.4 0.2 0 39.2733 -6.63227 4351.52
0.433333 0.2 0 40.5941 -12.4278 4348.38
0.466667 0.2 0 31.7286 -13.9053 4333.12
0.5 0.2 0 41.179 -5.80579 4329.53
0.533333 0.2 0 48.0477 -0.513301 4324.95
0.566667 0.2 0 36.7989 16.3225 4321.42
0.6 0.2 0 28.1844 27.0884 4317.15
0.633333 0.2 0 18.6472 40.4293 4314.17
0.666667 0.2 0 17.9328 49.1155 4306.44
0.7 0.2 0 19.9256 42.7045 4304.06
0.733333 0.2 0 20.5913 38.5457 4298.89
0.766667 0.2 0 18.9108 38.3485 4285.66
0.8 0.2 0 8.97826 52.0155 4255.67
0.833333 0.2 0 10.8228 51.7466 4245.25
0.166667 0.233333 0 -3.57178 -60.782 4247.47
0.2 0.233333 0 1.27627 -63.9086 4249.94
0.233333 0.233333 0 11.3868 -38.0736 4258.3
0.266667 0.233333 0 7.66648 -35.4157 4257.33
0.3 0.233333 0 6.21315 -41.417 4270.51
0.333333 0.233333 0 7.82498 -41.7456 4287.34
0.366667 0.233333 0 15.8827 -16.6862 4292.25
0.4 0.233333 0 11.1002 -15.3368 4287.54
0.433333 0.233333 0 10.7585 -25.374 4287.4
0.466667 0.233333 0 26.7461 -19.9953 4297.69
0.5 0.233333 0 24.9838 0.196815 4304.61
0.533333 0.233333 0 35.4818 -3.27075 4323.33
0.566667 0.233333 0 27.5458 13.2876 4320.42
0.6 0.233333 0 16.4687 23.0627 4314.74
0.633333 0.233333 0 8.78028 32.8875 4304.43
0.666667 0.233333 0 -3.34098 47.1358 4286.53
0.7 0.233333 0 -0.994148 45.8294 4275.37
0.733333 0.233333 0 5.65892 42.1405 4267.49
0.766667 0.233333 0 15.508 44.3642 4263.79
0.8 0.233333 0 11.6421 52.942 4250.25
0.833333 0.233333 0 1.33974 61.9116 4233.47
0.166667 0.266667 0 -17.4582 -67.214 4240.88
0.2 0.266667 0 9.78174 -52.4655 4264.47
0.233333 0.266667 0 9.94268 -45.3364 4266.49
0.266667 0.266667 0 1.87477 -41.6433 4262.69
0.3 0.266667 0 -9.58068 -35.2805 4257.62
0.333333 0.266667 0 -9.51475 -38.5948 4270.31
0.366667 0.266667 0 8.22741 -33.7367 4282.68
0.4 0.266667 0 -13.9735 -20.1591 4274.93
0.433333 0.266667 0 -10.2204 -23.9744 4285.19
0.466667 0.266667 0 20.7543 -12.6093 4306.13
0.5 0.266667 0 13.3113 3.881 4302.65
0.533333 0.266667 0 10.8296 8.33751 4305.14
0.566667 0.266667 0 18.3636 12.2258 4319.38
0.6 0.266667 0 8.08521 21.5022 4314.07
0.633333 0.266667 0 1.7236 28.3842 4306.34
0.666667 0.266667 0 -14.6504 40.7636 4288.1
0.7 0.266667 0 -11.6635 44.0753 4276.68
0.733333 0.266667 0 1.52841 46.7402 4272.71
0.766667 0.266667 0 8.98015 46.3635 4270.82
0.8 0.266667 0 11.9119 48.6675 4267.76
0.833333 0.266667 0 -1.41671 57.0452 4248.11
0.166667 0.3 0 -8.15702 -51.0245 4274.66
0.2 0.3 0 4.09891 -52.3051 4279.39
0.233333 0.3 0 4.70064 -49.9625 4276.72
0.266667 0.3 0 -4.28511 -43.7205 4272.04
0.3 0.3 0 -14.0119 -40.8922 4276.26
0.333333 0.3 0 -24.9729 -32.522 4281.73
0.366667 0.3 0 -5.73357 -38.1156 4298.03
0.4 0.3 0 -21.0084 -25.5115 4294.5
0.433333 0.3 0 -17.68 -16.1965 4304.68
0.466667 0.3 0 8.06427 -8.54268 4323.01
0.5 0.3 0 9.5112 -8.50031 4325.25
0.533333 0.3 0 -1.72844 11.8246 4312.42
0.566667 0.3 0 5.19037 17.9799 4316.77
0.6 0.3 0 0.058568 18.6975 4315.61
0.633333 0.3 0 -5.02569 21.2006 4306.12
0.666667 0.3 0 -17.1759 37.3671 4288.35
0.7 0.3 0 -13.5352 44.3123 4275.06
0.733333 0.3 0 -5.26619 45.3593 4272.29
0.766667 0.3 0 2.8286 48.3152 4274
0.8 0.3 0 3.73628 47.7778 4276.06
0.833333 0.3 0 1.06558 45.6041 4274.02
0.166667 0.333333 0 -12.1964 -48.0033 4285.3
0.2 0.333333 0 -5.45735 -54.7403 4285.23
0.233333 0.333333 0 -0.682367 -57.1064 4280.86
0.266667 0.333333 0 -9.52124 -46.2262 4274.43
0.3 0.333333 0 -22.2386 -42.5359 4273.04
0.333333 0.333333 0 -28.4712 -33.5233 4274.96
0.366667 0.333333 0 -20.4272 -30.1156 4278.85
0.4 0.333333 0 -13.9226 -31.5705 4302.23
0.433333 0.333333 0 -13.0397 -4.19483 4317
0.466667 0.333333 0 -9.42772 -9.2021 4317.96
0.5 0.333333 0 -4.71657 -12.5844 4312.53
0.533333 0.333333 0 -0.601317 0.614692 4304.27
0.566667 0.333333 0 -6.43605 19.7464 4290.63
0.6 0.333333 0 -13.2077 13.8523 4270.16
0.633333 0.333333 0 -11.6877 15.4091 4261.2
0.666667 0.333333 0 -9.66237 38.32 4264.19
0.7 0.333333 0 -20.8086 42.9248 4253.99
0.733333 0.333333 0 -12.3839 45.2983 4249.53
0.766667 0.333333 0 -2.31193 52.9639 4258.7
0.8 0.333333 0 -8.45225 50.7276 4267.67
0.833333 0.333333 0 -8.00849 43.211 4264.33
0.166667 0.366667 0 -19.3234 -44.1321 4259.6
0.2 0.366667 0 -20.4556 -51.1136 4261.33
0.233333 0.366667 0 -14.1196 -58.8661 4268.13
0.266667 0.366667 0 -14.1603 -48.9688 4270.71
0.3 0.366667 0 -26.1999 -42.2447 4273.03
0.333333 0.366667 0 -30.9568 -33.6048 4275.04
0.366667 0.366667 0 -25.0907 -28.0174 4275.35
0.4 0.366667 0 -9.40083 -16.0392 4285.65
0.433333 0.366667 0 -29.4777 -8.93773 4275.11
0.466667 0.366667 0 -28.8145 -16.4206 4266.48
0.5 0.366667 0 -15.939 -13.5686 4268.13
0.533333 0.366667 0 9.90869 9.2254 4287.87
0.566667 0.366667 0 -18.3065 17.623 4269.85
0.6 0.366667 0 -24.1456 16.0768 4261.61
0.633333 0.366667 0 -4.25987 32.0115 4274.83
0.666667 0.366667 0 -9.52311 34.3386 4269.46
0.7 0.366667 0 -26.9153 38.2158 4258.7
0.733333 0.366667 0 -13.5804 45.5561 4262.63
0.766667 0.366667 0 -5.42238 57.047 4273.1
0.8 0.366667 0 -22.6239 48.9678 4265.52
0.833333 0.366667 0 -14.6448 43.088 4262.19
0.166667 0.4 0 -13.0337 -51.9262 4270.79
0.2 0.4 0 -29.123 -47.5942 4267.32
0.233333 0.4 0 -21.0787 -49.4628 4277.59
0.266667 0.4 0 -13.3689 -47.0564 4288.34
0.3 0.4 0 -28.3035 -37.9573 4282.86
0.333333 0.4 0 -33.4202 -29.9556 4283.95
0.366667 0.4 0 -20.7067 -19.5599 4293.07
0.4 0.4 0 -14.1222 -18.9924 4288.98
0.433333 0.4 0 -33.8883 -18.3296 4275.46
0.466667 0.4 0 -35.0532 -9.94316 4275.24
0.5 0.4 0 -7.3049 12.451 4298.15
0.533333 0.4 0 -2.42979 9.90987 4295.83
0.566667 0.4 0 -22.8891 11.0459 4281.46
0.6 0.4 0 -20.4919 29.5002 4281.16
0.633333 0.4 0 -13.6803 34.1298 4284.75
0.666667 0.4 0 -19.203 28.9321 4281.02
0.7 0.4 0 -28.2679 37.3713 4283.34
0.733333 0.4 0 -11.0734 52.0042 4295.14
0.766667 0.4 0 -9.57389 49.8921 4288.56
0.8 0.4 0 -28.127 46.6179 4281.53
0.833333 0.4 0 -2.7047 55.1013 4289.75
0.166667 0.433333 0 -11.6993 -49.4557 4275.84
0.2 0.433333 0 -23.3 -49.6199 4279.52
0.233333 0.433333 0 -18.7573 -41.0604 4280.96
0.266667 0.433333 0 -14.9978 -39.652 4283.82
0.3 0.433333 0 -24.4274 -36.3337 4274.5
0.333333 0.433333 0 -32.3856 -21.9223 4269.56
0.366667 0.433333 0 -27.1142 -20.6713 4265.64
0.4 0.433333 0 -19.7363 -24.3896 4262.73
0.433333 0.433333 0 -19.8399 -20.8786 4259.5
0.466667 0.433333 0 -22.0138 8.24297 4264.73
0.5 0.433333 0 -20.5518 9.51904 4258.6
0.533333 0.433333 0 -20.838 2.82002 4251.93
0.566667 0.433333 0 -21.1777 0.429793 4250.64
0.6 0.433333 0 -23.3355 27.5389 4249
0.633333 0.433333 0 -28.2126 28.9193 4248.54
0.666667 0.433333 0 -33.071 26.837 4254.28
0.7 0.433333 0 -23.2766 43.0085 4271.36
0.733333 0.433333 0 -12.9144 45.818 4287
0.766667 0.433333 0 -9.1391 44.228 4288.61
