X Y Z Stress_XX Stress_XY Stress_YY
0.166667 0.166667 0 27.7353 -39.5112 4252.86
0.2 0.166667 0 30.0283 -39.7941 4270.68
0.233333 0.166667 0 34.7432 -38.2182 4280.87
0.266667 0.166667 0 40.2884 -34.5733 4290.53
0.3 0.166667 0 46.2735 -29.6647 4302.12
0.333333 0.166667 0 50.626 -25.2091 4307.28
0.366667 0.166667 0 54.0997 -21.1648 4310.89
0.4 0.166667 0 56.61 -17.6468 4317.68
0.433333 0.166667 0 57.8103 -11.6043 4322.42
0.466667 0.166667 0 59.3435 -5.42615 4323.36
0.5 0.166667 0 61.7303 0.659874 4325.74
0.533333 0.166667 0 60.4943 6.88543 4328.62
0.566667 0.166667 0 58.819 12.1106 4324.71
0.6 0.166667 0 56.6918 16.8869 4318.8
0.633333 0.166667 0 55.3895 21.9245 4318.99
0.666667 0.166667 0 51.0339 27.9341 4311.38
0.7 0.166667 0 45.2139 34.1257 4299.94
0.733333 0.166667 0 40.3976 37.6149 4290.64
0.766667 0.166667 0 37.1955 40.1287 4280.86
0.8 0.166667 0 33.461 41.7386 4265.11
0.833333 0.166667 0 29.6149 40.4378 4247.92
0.166667 0.2 0 19.2611 -41.5037 4263.5
0.2 0.2 0 19.8603 -42.6632 4276.38
0.233333 0.2 0 23.3179 -41.4827 4284.99
0.266667 0.2 0 28.2699 -37.7132 4296.02
0.3 0.2 0 33.0531 -32.6368 4305.46
0.333333 0.2 0 36.4588 -27.9332 4310.17
0.366667 0.2 0 39.0616 -23.6393 4314.86
0.4 0.2 0 40.6717 -19.7298 4319.92
0.433333 0.2 0 41.4095 -13.3983 4323.79
0.466667 0.2 0 42.637 -6.783 4324.68
0.5 0.2 0 45.0428 -0.119356 4327.47
0.533333 0.2 0 43.935 6.59935 4328.11
0.566667 0.2 0 42.212 12.4526 4323.12
0.6 0.2 0 40.4964 17.8454 4317.79
0.633333 0.2 0 38.9581 23.4372 4315.18
0.666667 0.2 0 35.2078 29.87 4307.96
0.7 0.2 0 30.3863 36.3039 4299.23
