X Y Z Strain_XX Strain_XY Strain_YY
0.2 0.2 0 -0.000186864 6.69537e-05 0.00101635
0.24 0.2 0 -0.000172902 6.87129e-05 0.00101469
0.28 0.2 0 -0.000161163 6.54416e-05 0.0010125
0.32 0.2 0 -0.000156997 5.99162e-05 0.00101905
0.36 0.2 0 -0.000154602 5.27966e-05 0.00102564
0.4 0.2 0 -0.000153671 4.18565e-05 0.00103205
0.44 0.2 0 -0.000155685 2.63553e-05 0.00103979
0.48 0.2 0 -0.000156246 9.58645e-06 0.00104312
0.52 0.2 0 -0.000156181 -9.37257e-06 0.001043
0.56 0.2 0 -0.000155613 -2.64998e-05 0.00103943
0.6 0.2 0 -0.000154333 -4.1018e-05 0.0010324
0.64 0.2 0 -0.000154517 -5.30418e-05 0.0010249
0.68 0.2 0 -0.000158977 -6.00099e-05 0.00102104
0.72 0.2 0 -0.000163088 -6.50044e-05 0.00101429
0.76 0.2 0 -0.000173672 -6.78586e-05 0.00101349
0.8 0.2 0 -0.000190438 -6.74467e-05 0.00101882
0.2 0.24 0 -0.00020029 4.88247e-05 0.00101296
0.24 0.24 0 -0.000192659 5.28551e-05 0.0010189
0.28 0.24 0 -0.000182505 5.50389e-05 0.00102079
0.32 0.24 0 -0.000175537 5.25722e-05 0.00102402
0.36 0.24 0 -0.000174353 4.69397e-05 0.00103259
0.4 0.24 0 -0.000173268 3.88854e-05 0.00103994
0.44 0.24 0 -0.000174542 2.50091e-05 0.00104753
0.48 0.24 0 -0.000175255 9.06173e-06 0.00105153
0.52 0.24 0 -0.000175202 -8.77271e-06 0.00105154
0.56 0.24 0 -0.000174912 -2.47605e-05 0.00104794
0.6 0.24 0 -0.000173612 -3.83669e-05 0.00104041
0.64 0.24 0 -0.000175 -4.72202e-05 0.0010333
0.68 0.24 0 -0.0001774 -5.14907e-05 0.00102545
0.72 0.24 0 -0.000183227 -5.37602e-05 0.0010201
0.76 0.24 0 -0.000195102 -5.36437e-05 0.00102112
0.8 0.24 0 -0.000206768 -4.68426e-05 0.00101714
0.2 0.28 0 -0.000213453 3.50203e-05 0.00101234
0.24 0.28 0 -0.000205026 3.88417e-05 0.00101674
0.28 0.28 0 -0.000199145 4.23239e-05 0.00102297
0.32 0.28 0 -0.000192319 4.39545e-05 0.00102688
0.36 0.28 0 -0.000189529 4.05827e-05 0.00103351
0.4 0.28 0 -0.000188414 3.40325e-05 0.00104097
0.44 0.28 0 -0.000187799 2.16773e-05 0.00104556
0.48 0.28 0 -0.000187459 7.98549e-06 0.00104884
0.52 0.28 0 -0.000187469 -7.34665e-06 0.00104883
0.56 0.28 0 -0.000188529 -2.13281e-05 0.00104702
0.6 0.28 0 -0.000188797 -3.30397e-05 0.0010408
0.64 0.28 0 -0.000190624 -3.95752e-05 0.00103435
0.68 0.28 0 -0.000193305 -4.25294e-05 0.00102706
0.72 0.28 0 -0.000200284 -4.30617e-05 0.00102466
0.76 0.28 0 -0.000208837 -3.70777e-05 0.00101946
0.8 0.28 0 -0.000215541 -3.22654e-05 0.00101301
