X Y Z Strain_XX Strain_XY Strain_YY
0.2 0.2 0 -0.000979499 0.000390718 0.0010455
0.24 0.2 0 -0.000935677 0.000370927 0.00100373
0.28 0.2 0 -0.000902142 0.000334321 0.000972183
0.32 0.2 0 -0.000880439 0.000291165 0.000951766
0.36 0.2 0 -0.000871987 0.000238405 0.000943925
0.4 0.2 0 -0.000870277 0.000185901 0.000943623
0.44 0.2 0 -0.000872294 0.000108411 0.000946764
0.48 0.2 0 -0.000873593 3.77351e-05 0.000948426
0.52 0.2 0 -0.000870136 -4.08343e-05 0.000945401
0.56 0.2 0 -0.000863601 -0.000111797 0.000938565
0.6 0.2 0 -0.000862695 -0.000184479 0.000937303
0.64 0.2 0 -0.00086786 -0.000228664 0.000941012
0.68 0.2 0 -0.000878112 -0.00028262 0.000949665
0.72 0.2 0 -0.000901109 -0.000327961 0.000971515
0.76 0.2 0 -0.000935261 -0.000358295 0.00100413
0.8 0.2 0 -0.000976009 -0.000386152 0.00104187
0.2 0.24 0 -0.00108468 0.000288717 0.0011474
0.24 0.24 0 -0.00105978 0.000287232 0.00112622
0.28 0.24 0 -0.00102911 0.000270272 0.0010974
0.32 0.24 0 -0.00100612 0.000245111 0.00107568
0.36 0.24 0 -0.000994099 0.000207666 0.00106434
0.4 0.24 0 -0.000988398 0.000163182 0.00105903
0.44 0.24 0 -0.000986114 9.61841e-05 0.00105712
0.48 0.24 0 -0.000988138 3.16875e-05 0.00105958
0.52 0.24 0 -0.00098608 -4.13032e-05 0.00105732
0.56 0.24 0 -0.000982923 -0.000105514 0.00105447
0.6 0.24 0 -0.000985871 -0.000165205 0.00105831
0.64 0.24 0 -0.000998001 -0.000202937 0.00106923
0.68 0.24 0 -0.00101229 -0.000243909 0.00108201
0.72 0.24 0 -0.0010368 -0.000272805 0.00110536
0.76 0.24 0 -0.00106292 -0.000288925 0.00112913
0.8 0.24 0 -0.00108279 -0.000300027 0.0011442
0.2 0.28 0 -0.00114954 0.000213996 0.00120889
0.24 0.28 0 -0.00115019 0.000221063 0.0012125
0.28 0.28 0 -0.0011332 0.000214017 0.00119868
0.32 0.28 0 -0.00111434 0.000199242 0.00118208
0.36 0.28 0 -0.0010998 0.000173827 0.00116803
0.4 0.28 0 -0.00109101 0.000137239 0.0011593
0.44 0.28 0 -0.00108473 8.2081e-05 0.00115371
0.48 0.28 0 -0.00108469 2.55586e-05 0.00115364
0.52 0.28 0 -0.00108407 -3.80425e-05 0.00115283
0.56 0.28 0 -0.00108792 -9.30529e-05 0.0011571
0.6 0.28 0 -0.00109634 -0.000139834 0.00116649
0.64 0.28 0 -0.00111115 -0.000169943 0.00118062
0.68 0.28 0 -0.00112753 -0.000197139 0.00119591
0.72 0.28 0 -0.00114693 -0.00021201 0.00121371
0.76 0.28 0 -0.00115632 -0.000217616 0.00122025
0.8 0.28 0 -0.00115088 -0.000218154 0.00120994
0.2 0.32 0 -0.00118819 0.00015484 0.00124522
0.24 0.32 0 -0.00120731 0.000165091 0.00126769
0.28 0.32 0 -0.00121194 0.000166337 0.00127543
0.32 0.32 0 -0.00120477 0.000161249 0.00127073
0.36 0.32 0 -0.00119066 0.000146715 0.00125752
0.4 0.32 0 -0.00117961 0.000118138 0.00124654
0.44 0.32 0 -0.00117199 7.29957e-05 0.00123909
0.48 0.32 0 -0.00116907 2.25919e-05 0.00123601
0.52 0.32 0 -0.00116983 -3.36237e-05 0.00123713
0.56 0.32 0 -0.00117944 -8.07405e-05 0.00124739
0.6 0.32 0 -0.00119083 -0.000116854 0.00125944
0.64 0.32 0 -0.00120468 -0.000138783 0.00127267
0.68 0.32 0 -0.00121624 -0.00015406 0.00128286
0.72 0.32 0 -0.0012238 -0.000157625 0.00128775
0.76 0.32 0 -0.00121574 -0.000156507 0.00127623
0.8 0.32 0 -0.00119228 -0.000151106 0.00124908
0.2 0.36 0 -0.00120972 0.000104464 0.00126521
0.24 0.36 0 -0.00124414 0.000114051 0.00130283
0.28 0.36 0 -0.0012639 0.000119019 0.00132537
0.32 0.36 0 -0.00127078 0.00011848 0.00133461
0.36 0.36 0 -0.00126416 0.000112629 0.0013295
0.4 0.36 0 -0.00125293 9.21434e-05 0.00131866
0.44 0.36 0 -0.00124426 5.83077e-05 0.00131036
0.48 0.36 0 -0.00124099 1.66717e-05 0.00130715
0.52 0.36 0 -0.00124375 -2.75346e-05 0.00131022
0.56 0.36 0 -0.00125485 -6.47449e-05 0.00132156
0.6 0.36 0 -0.0012663 -8.96265e-05 0.0013335
0.64 0.36 0 -0.00127672 -0.000103282 0.00134288
0.68 0.36 0 -0.00128039 -0.000109427 0.00134512
0.72 0.36 0 -0.00127315 -0.000108079 0.00133523
0.76 0.36 0 -0.00125123 -0.000104675 0.00131015
0.8 0.36 0 -0.00121665 -9.93875e-05 0.00127187
0.2 0.4 0 -0.00122188 6.44124e-05 0.00127596
0.24 0.4 0 -0.00126537 7.09451e-05 0.00132292
0.28 0.4 0 -0.0012954 7.72181e-05 0.00135572
0.32 0.4 0 -0.00131248 7.89505e-05 0.00137499
0.36 0.4 0 -0.00131665 7.82333e-05 0.00138067
0.4 0.4 0 -0.0013105 6.49291e-05 0.00137527
0.44 0.4 0 -0.00130242 4.10949e-05 0.0013677
0.48 0.4 0 -0.00129875 9.33162e-06 0.00136419
0.52 0.4 0 -0.00130217 -2.22449e-05 0.00136803
0.56 0.4 0 -0.00131108 -4.87959e-05 0.00137708
0.6 0.4 0 -0.00132089 -6.38139e-05 0.001387
0.64 0.4 0 -0.00132633 -7.13344e-05 0.00139107
0.68 0.4 0 -0.00132137 -7.16592e-05 0.00138458
0.72 0.4 0 -0.00130309 -6.8278e-05 0.00136372
0.76 0.4 0 -0.00127204 -6.3813e-05 0.00132961
0.8 0.4 0 -0.00122966 -5.87353e-05 0.0012839
0.2 0.44 0 -0.00123171 3.74373e-05 0.00128526
0.24 0.44 0 -0.00127786 3.97969e-05 0.00133476
0.28 0.44 0 -0.0013142 4.29847e-05 0.00137398
0.32 0.44 0 -0.00133796 4.35763e-05 0.00139978
0.36 0.44 0 -0.00134851 4.35976e-05 0.00141189
0.4 0.44 0 -0.00134822 3.58379e-05 0.0014125
0.44 0.44 0 -0.00134308 2.15765e-05 0.00140801
0.48 0.44 0 -0.00133859 2.21661e-06 0.00140359
0.52 0.44 0 -0.00134073 -1.64566e-05 0.00140599
0.56 0.44 0 -0.00134755 -3.11358e-05 0.00141271
0.6 0.44 0 -0.00135528 -3.7303e-05 0.00142004
0.64 0.44 0 -0.00135481 -3.89603e-05 0.00141833
0.68 0.44 0 -0.001344 -3.71462e-05 0.00140603
0.72 0.44 0 -0.0013194 -3.37059e-05 0.00137914
0.76 0.44 0 -0.00128377 -3.11507e-05 0.00134059
0.8 0.44 0 -0.00123696 -2.90353e-05 0.00129051
0.2 0.48 0 -0.00123799 1.62019e-05 0.00129136
0.24 0.48 0 -0.0012848 1.66357e-05 0.00134163
0.28 0.48 0 -0.00132331 1.77526e-05 0.00138271
0.32 0.48 0 -0.00135023 1.76858e-05 0.00141158
0.36 0.48 0 -0.00136539 1.72879e-05 0.00142839
0.4 0.48 0 -0.00136814 1.30982e-05 0.00143217
0.44 0.48 0 -0.00136506 6.01304e-06 0.00142984
0.48 0.48 0 -0.00136082 -1.76831e-06 0.00142601
0.52 0.48 0 -0.00136152 -9.29674e-06 0.00142686
0.56 0.48 0 -0.00136522 -1.33448e-05 0.00143016
0.6 0.48 0 -0.00136943 -1.31226e-05 0.00143392
0.64 0.48 0 -0.00136627 -1.17993e-05 0.00142939
0.68 0.48 0 -0.00135209 -1.06553e-05 0.00141359
0.72 0.48 0 -0.00132481 -7.64029e-06 0.00138411
0.76 0.48 0 -0.00128731 -6.1531e-06 0.00134388
0.8 0.48 0 -0.00124056 -5.36572e-06 0.00129384
0.2 0.52 0 -0.00124061 -5.38827e-06 0.00129386
0.24 0.52 0 -0.00128726 -6.57085e-06 0.0013438
0.28 0.52 0 -0.00132465 -8.10469e-06 0.00138398
0.32 0.52 0 -0.00135243 -1.05153e-05 0.00141385
0.36 0.52 0 -0.00136709 -1.23057e-05 0.00143028
0.4 0.52 0 -0.00137009 -1.29805e-05 0.00143437
0.44 0.52 0 -0.00136649 -1.3536e-05 0.00143152
0.48 0.52 0 -0.00136196 -9.42177e-06 0.00142717
0.52 0.52 0 -0.00136011 -2.88702e-06 0.0014254
0.56 0.52 0 -0.00136411 5.63582e-06 0.00142872
