X Y Z Stress_XX Stress_XY Stress_YY
0.2 0.2 0 189.487 125.531 2661.59
0.24 0.2 0 217.884 119.931 2661.22
0.28 0.2 0 241.136 110.347 2661.11
0.32 0.2 0 254.462 95.9247 2659.7
0.36 0.2 0 269.679 73.4595 2658.11
0.4 0.2 0 282 55.0267 2659.25
0.44 0.2 0 286.945 33.1871 2659.28
0.48 0.2 0 291.556 12.0068 2659.14
0.52 0.2 0 290.688 -11.6625 2659.06
0.56 0.2 0 289.068 -34.0106 2659.69
0.6 0.2 0 279.284 -55.4885 2658.78
0.64 0.2 0 271.496 -76.2171 2658.86
0.68 0.2 0 257.882 -95.545 2660.16
0.72 0.2 0 239.304 -108.68 2661.51
0.76 0.2 0 214.554 -121.379 2661.95
0.8 0.2 0 188.962 -126.496 2660.86
0.2 0.24 0 143.346 99.5881 2660.84
0.24 0.24 0 169.112 96.8903 2669.45
0.28 0.24 0 190.831 89.8172 2672.69
0.32 0.24 0 208.513 78.0508 2675.58
0.36 0.24 0 222.346 64.5626 2676.2
0.4 0.24 0 232.059 47.4205 2677.86
0.44 0.24 0 237.191 28.8233 2678.59
0.48 0.24 0 242.217 9.72968 2678.41
0.52 0.24 0 241.184 -9.91328 2677.26
0.56 0.24 0 239.765 -28.9534 2679.24
0.6 0.24 0 233.025 -46.6287 2678.52
0.64 0.24 0 222.274 -62.7817 2676.87
0.68 0.24 0 206.149 -78.7333 2675.53
0.72 0.24 0 187.905 -90.8508 2673.7
0.76 0.24 0 168.203 -96.4251 2668.56
0.8 0.24 0 141.244 -100.15 2663.21
0.2 0.28 0 104.81 75.412 2658.68
0.24 0.28 0 128.295 75.5251 2671.93
0.28 0.28 0 148.404 70.786 2681.27
0.32 0.28 0 163.98 63.1565 2687.25
0.36 0.28 0 176.562 51.8557 2690.55
0.4 0.28 0 187.381 38.0167 2693.48
0.44 0.28 0 191.299 24.0715 2695.41
0.48 0.28 0 197.79 7.26686 2696
0.52 0.28 0 199.143 -7.83675 2695.62
0.56 0.28 0 190.113 -23.7129 2695.4
0.6 0.28 0 186.892 -39.0063 2693.96
0.64 0.28 0 179.213 -52.7017 2691.32
0.68 0.28 0 165.03 -62.8178 2687.21
0.72 0.28 0 149.675 -70.9218 2681.6
0.76 0.28 0 126.802 -75.4514 2672.6
0.8 0.28 0 105.215 -77.1414 2659.77
0.2 0.32 0 79.177 55.2347 2656.52
0.24 0.32 0 96.1446 56.0288 2673.69
0.28 0.32 0 114.692 54.1868 2687.07
0.32 0.32 0 130.416 49.0072 2696.25
0.36 0.32 0 142.143 39.5202 2702.58
0.4 0.32 0 151.604 30.4305 2706.68
0.44 0.32 0 154.332 19.146 2709.95
0.48 0.32 0 160.347 5.3419 2710.67
0.52 0.32 0 160.877 -6.17336 2710.87
0.56 0.32 0 154.763 -18.6713 2709.92
0.6 0.32 0 153.722 -30.1152 2707.13
0.64 0.32 0 138.991 -40.4569 2702.68
0.68 0.32 0 129.908 -48.7223 2695.66
0.72 0.32 0 111.991 -53.917 2686.85
0.76 0.32 0 95.2368 -57.1119 2673.43
0.8 0.32 0 77.7727 -56.2323 2657.59
0.2 0.36 0 57.3706 39.7043 2652.7
0.24 0.36 0 72.8025 41.245 2673.77
0.28 0.36 0 87.3105 39.9441 2688.89
0.32 0.36 0 99.2582 35.1682 2702.41
0.36 0.36 0 112.091 30.2143 2710.62
0.4 0.36 0 120.901 22.4577 2716.47
0.44 0.36 0 127.58 13.6196 2719.27
0.48 0.36 0 130.16 4.62549 2721.35
0.52 0.36 0 129.759 -4.98796 2721.52
0.56 0.36 0 125.935 -14.5142 2719.43
0.6 0.36 0 118.271 -23.2016 2716.22
0.64 0.36 0 113.025 -30.2098 2710.33
0.68 0.36 0 101.017 -35.9042 2702.05
0.72 0.36 0 86.5704 -39.5861 2690.19
0.76 0.36 0 72.7029 -40.3494 2673.69
0.8 0.36 0 56.2337 -39.8759 2653.97
0.2 0.4 0 43.9834 26.2752 2650.89
0.24 0.4 0 56.4236 27.9291 2673.26
0.28 0.4 0 68.2461 26.9615 2691.59
0.32 0.4 0 81.0611 25.3588 2704.88
0.36 0.4 0 88.9589 21.3656 2716.24
0.4 0.4 0 98.0365 16.2807 2722.27
0.44 0.4 0 102.601 10.2756 2727.25
0.48 0.4 0 106.591 3.53946 2729.39
0.52 0.4 0 106.618 -3.34779 2729.45
0.56 0.4 0 104.123 -10.1778 2727.53
0.6 0.4 0 98.8144 -15.7423 2722.65
0.64 0.4 0 90.4402 -20.4069 2716.46
0.68 0.4 0 80.2853 -24.8428 2705.89
0.72 0.4 0 68.3044 -26.8213 2691.54
0.76 0.4 0 56.0157 -27.4645 2673.15
0.8 0.4 0 43.4789 -25.7669 2650.18
0.2 0.44 0 35.6583 14.574 2648.25
0.24 0.44 0 46.5546 15.0638 2672.51
0.28 0.44 0 57.1277 15.2776 2694.67
0.32 0.44 0 68.201 14.2331 2708.83
0.36 0.44 0 75.6465 11.7761 2719.79
0.4 0.44 0 83.7333 8.9533 2727.71
0.44 0.44 0 89.1347 5.8914 2731.94
0.48 0.44 0 91.6846 2.22832 2734.79
0.52 0.44 0 91.3752 -1.99055 2734.7
0.56 0.44 0 88.3476 -6.09698 2731.59
0.6 0.44 0 83.8304 -9.22164 2727.7
