X Y Z Stress_XX Stress_XY Stress_YY
0.2 0.2 0 181.435 134.767 2670.14
0.24 0.2 0 212.934 128.569 2669.15
0.28 0.2 0 238.312 115.688 2667.09
0.32 0.2 0 257.351 98.5359 2665.07
0.36 0.2 0 271.375 78.6812 2663.72
0.4 0.2 0 282.317 57.3811 2663.22
0.44 0.2 0 288.452 34.6825 2662.96
0.48 0.2 0 291.754 11.6913 2662.82
0.52 0.2 0 292.172 -11.7092 2662.84
0.56 0.2 0 289.102 -34.6457 2662.86
0.6 0.2 0 282.486 -57.5011 2663.12
0.64 0.2 0 272.316 -78.6121 2663.8
0.68 0.2 0 257.447 -98.4945 2665.15
0.72 0.2 0 238.119 -115.702 2667.17
0.76 0.2 0 212.975 -128.735 2669.56
0.8 0.2 0 181.842 -135.352 2670.47
0.2 0.24 0 132.053 103.112 2670.41
0.24 0.24 0 160.162 101.68 2677.37
0.28 0.24 0 184.232 93.9045 2680.31
0.32 0.24 0 202.954 81.7096 2681.87
0.36 0.24 0 217.439 66.256 2682.72
0.4 0.24 0 228.53 48.7782 2683.32
0.44 0.24 0 235.664 29.64 2683.51
0.48 0.24 0 238.966 9.92264 2683.84
0.52 0.24 0 238.953 -10.151 2683.8
0.56 0.24 0 235.89 -29.8595 2683.52
0.6 0.24 0 229.217 -48.8364 2683.33
0.64 0.24 0 217.761 -66.2539 2683.04
0.68 0.24 0 202.939 -81.7226 2682.19
0.72 0.24 0 183.857 -94.1307 2680.88
0.76 0.24 0 160.056 -102.033 2677.46
0.8 0.24 0 131.401 -103.796 2670.55
0.2 0.28 0 95.2529 76.9287 2667.28
0.24 0.28 0 118.574 78.0408 2680.73
0.28 0.28 0 139.987 73.6252 2689.18
0.32 0.28 0 158.008 65.1373 2694.46
0.36 0.28 0 171.804 53.6431 2697.68
0.4 0.28 0 182.403 39.9869 2699.68
0.44 0.28 0 189.998 24.5284 2700.8
0.48 0.28 0 193.274 8.31318 2701.35
0.52 0.28 0 193.001 -8.28763 2701.3
0.56 0.28 0 189.794 -24.4926 2700.86
0.6 0.28 0 182.955 -40.0055 2699.95
0.64 0.28 0 171.868 -53.6852 2698.09
0.68 0.28 0 157.608 -65.2051 2694.87
0.72 0.28 0 139.943 -73.7048 2689.77
0.76 0.28 0 118.599 -78.0653 2681.17
0.8 0.28 0 94.6228 -76.9063 2667.13
0.2 0.32 0 68.3302 55.6673 2662.71
0.24 0.32 0 87.5435 58.0895 2681.54
0.28 0.32 0 105.674 56.1587 2694.54
0.32 0.32 0 121.603 50.5519 2703.36
0.36 0.32 0 134.502 42.125 2709.06
0.4 0.32 0 144.326 31.5927 2712.78
0.44 0.32 0 151.254 19.5283 2715.01
0.48 0.32 0 154.422 6.54822 2715.99
0.52 0.32 0 154.38 -6.67803 2716.04
0.56 0.32 0 151.203 -19.5163 2715.24
0.6 0.32 0 144.654 -31.4891 2713.19
0.64 0.32 0 134.353 -41.9109 2709.51
0.68 0.32 0 121.432 -50.2516 2703.71
0.72 0.32 0 105.335 -55.8847 2694.97
0.76 0.32 0 87.0693 -57.9259 2681.79
0.8 0.32 0 67.8421 -55.7228 2662.84
0.2 0.36 0 49.5451 38.5624 2658.15
0.24 0.36 0 64.897 41.0587 2681.01
0.28 0.36 0 79.711 40.3221 2697.52
0.32 0.36 0 93.4834 36.832 2709.34
0.36 0.36 0 104.899 31.1188 2717.58
0.4 0.36 0 114.002 23.4342 2722.86
0.44 0.36 0 120.531 14.6061 2726.05
0.48 0.36 0 123.502 4.96371 2727.59
