 Iter     h_norm         step size         Cost         New_Cost       r_norm     r_new_norm      T_time        Status
    1        15491.6      4.096e-06      371.589        3.82822      15491.6          1962.41   T=9.80183s   ACCEPTED
    2        1962.41    1.67772e-06      3.82822        1.88123      1962.41          1335.53   T=16.2753s   ACCEPTED
    3        1335.53    2.62144e-06      1.88123        0.44668      1335.53          470.538   T=12.9861s   ACCEPTED
    4        470.538     3.2768e-06      0.44668       0.187613      470.538          254.368   T=11.3699s   ACCEPTED
    5        254.368     3.2768e-06     0.187613       0.109161      254.368           169.29   T=11.3617s   ACCEPTED
    6         169.29      4.096e-06     0.109161      0.0674781       169.29          134.921   T=9.73985s   ACCEPTED
    7        134.921     3.2768e-06    0.0674781      0.0463122      134.921          102.119   T=11.3066s   ACCEPTED
    8        102.119       5.12e-06    0.0463122      0.0302296      102.119          105.066   T=8.11698s   ACCEPTED
    9        105.066    2.62144e-06    0.0302296      0.0193268      105.066          58.7465   T=12.9997s   ACCEPTED
   10        58.7465          8e-06    0.0193268      0.0110303      58.7465          76.9479   T=4.88923s   ACCEPTED
   11        76.9479    2.62144e-06    0.0110303     0.00593129      76.9479          35.8742   T=13.0052s   ACCEPTED
   12        35.8742       5.12e-06   0.00593129      0.0038171      35.8742          36.4231   T=8.11544s   ACCEPTED
   13        36.4231    2.62144e-06    0.0038171     0.00252184      36.4231          21.3552   T=13.0088s   ACCEPTED
   14        21.3552        6.4e-06   0.00252184      0.0014579      21.3552          23.0497   T=6.50857s   ACCEPTED
   15        23.0497    2.62144e-06    0.0014579    0.000954572      23.0497          13.3006   T=12.9884s   ACCEPTED
   16        13.3006        6.4e-06   0.000954572    0.000571128      13.3006          14.9878   T=6.48617s   ACCEPTED
   17        14.9878    2.62144e-06   0.000571128     0.00036639      14.9878          8.38683   T=12.9852s   ACCEPTED
   18        8.38683        6.4e-06   0.00036639    0.000230369      8.38683          9.99733   T=6.51382s   ACCEPTED
   19        9.99733    2.62144e-06   0.000230369    0.000143095      9.99733          5.36668   T=13.0125s   ACCEPTED
   20        5.36668       5.12e-06   0.000143095    9.22289e-05      5.36668          5.37086   T=8.13437s   ACCEPTED
   21        5.37086    2.62144e-06   9.22289e-05    6.40014e-05      5.37086          3.34434   T=12.9916s   ACCEPTED
   22        3.34434        6.4e-06   6.40014e-05    3.82961e-05      3.34434          3.67899   T=6.49636s   ACCEPTED
   23        3.67899    2.62144e-06   3.82961e-05    2.57942e-05      3.67899          2.16683   T=13.0101s   ACCEPTED
   24        2.16683        6.4e-06   2.57942e-05     1.6442e-05      2.16683          2.57342   T=6.49743s   ACCEPTED
   25        2.57342    2.62144e-06   1.6442e-05    1.06469e-05      2.57342          1.42801   T=12.9762s   ACCEPTED
   26        1.42801       5.12e-06   1.06469e-05    7.05602e-06      1.42801          1.44763   T=8.09905s   ACCEPTED
   27        1.44763    2.62144e-06   7.05602e-06    5.01202e-06      1.44763         0.915082   T=13.0226s   ACCEPTED
   28       0.915082        6.4e-06   5.01202e-06    3.11645e-06     0.915082           1.0248   T=6.50181s   ACCEPTED
   29         1.0248    2.62144e-06   3.11645e-06    2.14955e-06       1.0248         0.610489   T=12.9987s   ACCEPTED
   30       0.610489        6.4e-06   2.14955e-06    1.41939e-06     0.610489         0.736514   T=6.52316s   ACCEPTED
   31       0.736514    2.62144e-06   1.41939e-06    9.44303e-07     0.736514         0.413721   T=12.9898s   ACCEPTED
   32       0.413721       5.12e-06   9.44303e-07    6.45246e-07     0.413721         0.425189   T=8.12249s   ACCEPTED
   33       0.425189    2.62144e-06   6.45246e-07    4.68356e-07     0.425189         0.272052   T=13.0075s   ACCEPTED
   34       0.272052        6.4e-06   4.68356e-07    3.00118e-07     0.272052         0.306266   T=6.50246s   ACCEPTED
   35       0.306266    2.62144e-06   3.00118e-07    2.12686e-07     0.306266          0.18604   T=12.9586s   ACCEPTED
   36        0.18604        6.4e-06   2.12686e-07    1.42687e-07      0.18604           0.2228   T=6.47536s   ACCEPTED
   37         0.2228    2.62144e-06   1.42687e-07    9.83046e-08       0.2228         0.128695   T=13.0161s   ACCEPTED
   38       0.128695       5.12e-06   9.83046e-08    6.82058e-08     0.128695          0.13149   T=8.15455s   ACCEPTED
   39        0.13149    2.62144e-06   6.82058e-08    5.08111e-08      0.13149        0.0868208   T=13.0057s   ACCEPTED
   40      0.0868208          8e-06   5.08111e-08    3.24675e-08    0.0868208         0.116793   T=4.87474s   ACCEPTED
   41       0.116793    2.62144e-06   3.24675e-08     2.0994e-08     0.116793        0.0617959   T=13.0016s   ACCEPTED
   42      0.0617959      4.096e-06   2.0994e-08    1.51799e-08    0.0617959        0.0550628   T=9.86097s   ACCEPTED
