 Iter     h_norm         step size         Cost         New_Cost       r_norm     r_new_norm      T_time        Status
    1        384.212         0.0064      364.801        40.6098      384.212          132.057   T=3.26828s   ACCEPTED
    2        132.057         0.0064      40.6098        6.61297      132.057           51.869   T=3.55693s   ACCEPTED
    3         51.869         0.0064      6.61297       0.911647       51.869          19.1116   T=3.18284s   ACCEPTED
    4        19.1116         0.0064     0.911647       0.138504      19.1116          7.27613   T=3.44476s   ACCEPTED
    5        7.27613         0.0064     0.138504       0.021368      7.27613          2.77073   T=3.29563s   ACCEPTED
    6        2.77073         0.0064     0.021368      0.0035055      2.77073          1.07424   T=3.3015s   ACCEPTED
    7        1.07424         0.0064    0.0035055    0.000610978      1.07424         0.424578   T=3.16241s   ACCEPTED
    8       0.424578         0.0064   0.000610978    0.000114055     0.424578         0.172482   T=3.29351s   ACCEPTED
    9       0.172482          0.008   0.000114055    3.07911e-05     0.172482         0.103866   T=2.48717s   ACCEPTED
   10       0.103866         0.0064   3.07911e-05    5.14543e-06     0.103866        0.0404814   T=3.27932s   ACCEPTED
   11      0.0404814         0.0064   5.14543e-06    9.18832e-07    0.0404814        0.0161404   T=3.31004s   ACCEPTED
   12      0.0161404          0.008   9.18832e-07     2.7873e-07    0.0161404        0.0101287   T=2.24885s   ACCEPTED
   13      0.0101287         0.0064   2.7873e-07    4.48668e-08    0.0101287       0.00390407   T=3.0418s   ACCEPTED
   14     0.00390407         0.0064   4.48668e-08    7.68628e-09   0.00390407       0.00153328   T=3.11534s   ACCEPTED
   15     0.00153328         0.0064   7.68628e-09    1.41228e-09   0.00153328      0.000617934   T=3.11131s   ACCEPTED
   16    0.000617934          0.008   1.41228e-09    4.03758e-10   0.000617934      0.000379942   T=2.24546s   ACCEPTED
