 Iter     h_norm         step size         Cost         New_Cost       r_norm     r_new_norm      T_time        Status
    1        273.151           0.01      384.683        40.1816      273.151          115.286   T=0.508904s   ACCEPTED
    2        115.286         0.0064      40.1816        10.3557      115.286          46.4861   T=1.03684s   ACCEPTED
    3        46.4861           0.01      10.3557        2.01406      46.4861          28.0944   T=0.503656s   ACCEPTED
    4        28.0944         0.0064      2.01406       0.319544      28.0944          9.54962   T=1.01716s   ACCEPTED
    5        9.54962          0.008     0.319544      0.0639175      9.54962          4.42982   T=0.810341s   ACCEPTED
    6        4.42982         0.0064    0.0639175      0.0104463      4.42982          1.38152   T=1.00335s   ACCEPTED
    7        1.38152           0.01    0.0104463     0.00396853      1.38152          1.04839   T=0.496088s   ACCEPTED
    8        1.04839         0.0064   0.00396853    0.000921369      1.04839         0.390237   T=0.996848s   ACCEPTED
    9       0.390237           0.01   0.000921369    0.000411649     0.390237         0.341428   T=0.486225s   ACCEPTED
   10       0.341428         0.0064   0.000411649    0.000120637     0.341428         0.154997   T=0.998231s   ACCEPTED
   11       0.154997          0.008   0.000120637     5.2927e-05     0.154997         0.112851   T=0.754149s   ACCEPTED
   12       0.112851         0.0064   5.2927e-05    1.89204e-05     0.112851        0.0575294   T=1.00217s   ACCEPTED
   13      0.0575294          0.008   1.89204e-05    8.12466e-06    0.0575294        0.0416334   T=0.755041s   ACCEPTED
   14      0.0416334          0.008   8.12466e-06    3.74322e-06    0.0416334        0.0311847   T=0.749199s   ACCEPTED
   15      0.0311847         0.0064   3.74322e-06    1.29371e-06    0.0311847        0.0156719   T=0.997307s   ACCEPTED
   16      0.0156719          0.008   1.29371e-06    5.73229e-07    0.0156719        0.0115385   T=0.747711s   ACCEPTED
   17      0.0115385         0.0064   5.73229e-07    2.10674e-07    0.0115385       0.00597919   T=1.00131s   ACCEPTED
   18     0.00597919          0.008   2.10674e-07    9.00889e-08   0.00597919       0.00431509   T=0.73934s   ACCEPTED
   19     0.00431509          0.008   9.00889e-08    4.11271e-08   0.00431509        0.0032207   T=0.745825s   ACCEPTED
   20      0.0032207         0.0064   4.11271e-08    1.44831e-08    0.0032207       0.00163257   T=0.996914s   ACCEPTED
   21     0.00163257          0.008   1.44831e-08    6.35732e-09   0.00163257       0.00119602   T=0.760358s   ACCEPTED
   22     0.00119602         0.0064   6.35732e-09    2.37397e-09   0.00119602      0.000625405   T=0.983338s   ACCEPTED
   23    0.000625405          0.008   2.37397e-09    1.00651e-09   0.000625405      0.000448782   T=0.762729s   ACCEPTED
