 Iter     h_norm         step size         Cost         New_Cost       r_norm     r_new_norm      T_time        Status
    1    1.19029e-07       3.75e+13      0.61985       0.376624   1.19029e-07      7.69078e-08   T=0.162189s   ACCEPTED
    2    7.69078e-08       3.75e+13     0.376624       0.273789   7.69078e-08      5.56819e-08   T=0.161217s   ACCEPTED
    3    5.56819e-08       3.75e+13     0.273789       0.209227   5.56819e-08      4.57888e-08   T=0.162158s   ACCEPTED
    4    4.57888e-08       3.75e+13     0.209227       0.164837   4.57888e-08       3.8687e-08   T=0.178036s   ACCEPTED
    5     3.8687e-08       3.75e+13     0.164837       0.130182   3.8687e-08      3.34312e-08   T=0.174054s   ACCEPTED
    6    3.34312e-08       3.75e+13     0.130182        0.10531   3.34312e-08      2.91076e-08   T=0.16487s   ACCEPTED
    7    2.91076e-08       3.75e+13      0.10531      0.0852904   2.91076e-08      2.56309e-08   T=0.161545s   ACCEPTED
    8    2.56309e-08       3.75e+13    0.0852904      0.0707003   2.56309e-08      2.26703e-08   T=0.173268s   ACCEPTED
    9    2.26703e-08       3.75e+13    0.0707003      0.0585265   2.26703e-08      2.02675e-08   T=0.162922s   ACCEPTED
   10    2.02675e-08       3.75e+13    0.0585265       0.049806   2.02675e-08      1.82455e-08   T=0.168138s   ACCEPTED
   11    1.82455e-08       3.75e+13     0.049806       0.042089   1.82455e-08      1.67055e-08   T=0.161594s   ACCEPTED
   12    1.67055e-08       3.75e+13     0.042089      0.0369395   1.67055e-08      1.56263e-08   T=0.18132s   ACCEPTED
   13    1.56263e-08       3.75e+13    0.0369395      0.0318492   1.56263e-08      1.51489e-08   T=0.1656s   ACCEPTED
   14    1.51489e-08       3.75e+13    0.0318492      0.0291275   1.51489e-08      1.57159e-08   T=0.165238s   ACCEPTED
   15    1.57159e-08       3.75e+13    0.0291275       0.025797   1.57159e-08      1.69906e-08   T=0.176641s   ACCEPTED
   16    1.69906e-08       1.92e+13     0.025797      0.0238035   1.69906e-08      1.04098e-08   T=0.42787s   ACCEPTED
   17    1.04098e-08       3.75e+13    0.0238035      0.0214915   1.04098e-08      9.63088e-09   T=0.172609s   ACCEPTED
   18    9.63088e-09       3.75e+13    0.0214915      0.0197371   9.63088e-09       8.9945e-09   T=0.172353s   ACCEPTED
   19     8.9945e-09       3.75e+13    0.0197371      0.0181017   8.9945e-09      8.55552e-09   T=0.170179s   ACCEPTED
   20    8.55552e-09       3.75e+13    0.0181017      0.0169928   8.55552e-09      8.35563e-09   T=0.160737s   ACCEPTED
   21    8.35563e-09       3.75e+13    0.0169928      0.0157711   8.35563e-09      8.58575e-09   T=0.174119s   ACCEPTED
   22    8.58575e-09       1.92e+13    0.0157711      0.0152936   8.58575e-09      7.14439e-09   T=0.421384s   ACCEPTED
   23    7.14439e-09       3.75e+13    0.0152936       0.014377   7.14439e-09      6.86779e-09   T=0.16926s   ACCEPTED
   24    6.86779e-09       3.75e+13     0.014377      0.0137162   6.86779e-09      6.71813e-09   T=0.238518s   ACCEPTED
   25    6.71813e-09       3.75e+13    0.0137162      0.0129847   6.71813e-09      6.84632e-09   T=0.164753s   ACCEPTED
   26    6.84632e-09       1.92e+13    0.0129847      0.0127039   6.84632e-09      6.03472e-09   T=0.426618s   ACCEPTED
   27    6.03472e-09       3.75e+13    0.0127039      0.0121241   6.03472e-09      5.87117e-09   T=0.171032s   ACCEPTED
   28    5.87117e-09       3.75e+13    0.0121241      0.0116956   5.87117e-09      5.79586e-09   T=0.173701s   ACCEPTED
   29    5.79586e-09       3.75e+13    0.0116956      0.0112044   5.79586e-09      5.94752e-09   T=0.17163s   ACCEPTED
   30    5.94752e-09      1.536e+13    0.0112044      0.0110396   5.94752e-09      5.28713e-09   T=0.501061s   ACCEPTED
   31    5.28713e-09       3.75e+13    0.0110396      0.0106519   5.28713e-09      5.12046e-09   T=0.17008s   ACCEPTED
   32    5.12046e-09       3.75e+13    0.0106519       0.010298   5.12046e-09      4.96578e-09   T=0.172461s   ACCEPTED
   33    4.96578e-09       3.75e+13     0.010298     0.00996938   4.96578e-09      4.82262e-09   T=0.174837s   ACCEPTED
   34    4.82262e-09       3.75e+13   0.00996938     0.00967133   4.82262e-09      4.68828e-09   T=0.169413s   ACCEPTED
   35    4.68828e-09       3.75e+13   0.00967133     0.00938656   4.68828e-09      4.56309e-09   T=0.172698s   ACCEPTED
   36    4.56309e-09       3.75e+13   0.00938656     0.00913001   4.56309e-09      4.44329e-09   T=0.162629s   ACCEPTED
   37    4.44329e-09       3.75e+13   0.00913001     0.00887842   4.44329e-09      4.33916e-09   T=0.165187s   ACCEPTED
   38    4.33916e-09       3.75e+13   0.00887842     0.00866214   4.33916e-09      4.24609e-09   T=0.174376s   ACCEPTED
   39    4.24609e-09       3.75e+13   0.00866214     0.00843171   4.24609e-09      4.20033e-09   T=0.177911s   ACCEPTED
   40    4.20033e-09    4.02653e+12   0.00843171     0.00841038   4.20033e-09      4.14437e-09   T=1.02133s   ACCEPTED
   41    4.14437e-09    7.86432e+12   0.00841038     0.00836981   4.14437e-09      4.08166e-09   T=0.776144s   ACCEPTED
   42    4.08166e-09       3.75e+13   0.00836981     0.00818093   4.08166e-09      3.99177e-09   T=0.170668s   ACCEPTED
   43    3.99177e-09       3.75e+13   0.00818093      0.0079814   3.99177e-09      3.93771e-09   T=0.170341s   ACCEPTED
   44    3.93771e-09     6.7554e+11    0.0079814     0.00797826   3.93771e-09      3.92966e-09   T=1.72015s   ACCEPTED
   45    3.92966e-09     6.7554e+11   0.00797826     0.00797512   3.92966e-09      3.92215e-09   T=1.75016s   ACCEPTED
   46    3.92215e-09    8.44425e+11   0.00797512     0.00797123   3.92215e-09      3.91342e-09   T=1.62279s   ACCEPTED
   47    3.91342e-09    1.05553e+12   0.00797123     0.00796637   3.91342e-09      3.90344e-09   T=1.53194s   ACCEPTED
   48    3.90344e-09    1.64927e+12   0.00796637     0.00795883   3.90344e-09      3.88953e-09   T=1.42051s   ACCEPTED
   49    3.88953e-09    3.22123e+12   0.00795883     0.00794421   3.88953e-09      3.86701e-09   T=1.07173s   ACCEPTED
   50    3.86701e-09     1.2288e+13   0.00794421     0.00788898   3.86701e-09      3.81249e-09   T=0.585531s   ACCEPTED
   51    3.81249e-09       3.75e+13   0.00788898     0.00772001   3.81249e-09      3.71635e-09   T=0.170258s   ACCEPTED
   52    3.71635e-09       3.75e+13   0.00772001     0.00755479   3.71635e-09      3.62519e-09   T=0.166768s   ACCEPTED
   53    3.62519e-09          3e+13   0.00755479      0.0074363   3.62519e-09      3.55157e-09   T=0.254408s   ACCEPTED
   54    3.55157e-09       3.75e+13    0.0074363     0.00728439   3.55157e-09      3.46864e-09   T=0.159717s   ACCEPTED
   55    3.46864e-09    6.29146e+12   0.00728439     0.00726165   3.46864e-09      3.44598e-09   T=0.85091s   ACCEPTED
   56    3.44598e-09        2.4e+13   0.00726165     0.00717537   3.44598e-09      3.38652e-09   T=0.348818s   ACCEPTED
   57    3.38652e-09       3.75e+13   0.00717537     0.00704158   3.38652e-09      3.30392e-09   T=0.16234s   ACCEPTED
   58    3.30392e-09     1.2288e+13   0.00704158     0.00700134   3.30392e-09      3.27221e-09   T=0.586279s   ACCEPTED
   59    3.27221e-09       3.75e+13   0.00700134     0.00687886   3.27221e-09       3.1884e-09   T=0.166588s   ACCEPTED
   60     3.1884e-09       3.75e+13   0.00687886     0.00676137   3.1884e-09      3.10709e-09   T=0.166737s   ACCEPTED
   61    3.10709e-09          3e+13   0.00676137     0.00667431   3.10709e-09      3.04307e-09   T=0.257457s   ACCEPTED
   62    3.04307e-09       3.75e+13   0.00667431     0.00656688   3.04307e-09      2.96589e-09   T=0.167541s   ACCEPTED
