 Iter     h_norm         step size         Cost         New_Cost       r_norm     r_new_norm      T_time        Status
    1       0.400698            6.4     0.634922       0.174783     0.400698         0.228099   T=0.889521s   ACCEPTED
    2       0.228099           5.12     0.174783      0.0711774     0.228099         0.122779   T=1.11257s   ACCEPTED
    3       0.122779              8    0.0711774      0.0338477     0.122779         0.115631   T=0.680709s   ACCEPTED
    4       0.115631           5.12    0.0338477      0.0119352     0.115631        0.0562953   T=1.09372s   ACCEPTED
    5      0.0562953            6.4    0.0119352     0.00563584    0.0562953        0.0398006   T=0.883312s   ACCEPTED
    6      0.0398006           5.12   0.00563584     0.00251103    0.0398006        0.0194366   T=1.09235s   ACCEPTED
    7      0.0194366            6.4   0.00251103      0.0015694    0.0194366        0.0139423   T=0.868794s   ACCEPTED
    8      0.0139423            6.4    0.0015694     0.00115885    0.0139423        0.0103856   T=0.877927s   ACCEPTED
    9      0.0103856            6.4   0.00115885    0.000949815    0.0103856       0.00789947   T=0.871297s   ACCEPTED
   10     0.00789947           5.12   0.000949815    0.000812565   0.00789947       0.00430365   T=1.11979s   ACCEPTED
   11     0.00430365              8   0.000812565    0.000750063   0.00430365       0.00438868   T=0.670482s   ACCEPTED
   12     0.00438868            6.4   0.000750063    0.000702915   0.00438868       0.00359335   T=0.892417s   ACCEPTED
   13     0.00359335              8   0.000702915    0.000671763   0.00359335       0.00398674   T=0.669414s   ACCEPTED
   14     0.00398674            6.4   0.000671763    0.000638315   0.00398674       0.00328315   T=0.871838s   ACCEPTED
   15     0.00328315            6.4   0.000638315    0.000610986   0.00328315        0.0027501   T=0.877856s   ACCEPTED
   16      0.0027501              8   0.000610986    0.000590308    0.0027501       0.00306112   T=0.677605s   ACCEPTED
   17     0.00306112            6.4   0.000590308    0.000568177   0.00306112       0.00256016   T=0.885266s   ACCEPTED
   18     0.00256016              8   0.000568177    0.000551969   0.00256016       0.00288337   T=0.655039s   ACCEPTED
   19     0.00288337            6.4   0.000551969    0.000533348   0.00288337        0.0024076   T=0.878882s   ACCEPTED
   20      0.0024076            6.4   0.000533348    0.000517481    0.0024076       0.00205556   T=0.90435s   ACCEPTED
   21     0.00205556              8   0.000517481    0.000504101   0.00205556       0.00228384   T=0.673895s   ACCEPTED
   22     0.00228384            6.4   0.000504101    0.000490344   0.00228384       0.00194724   T=0.870011s   ACCEPTED
   23     0.00194724              8   0.000490344    0.000478909   0.00194724       0.00217781   T=0.651735s   ACCEPTED
   24     0.00217781            6.4   0.000478909    0.000466769   0.00217781       0.00185484   T=0.875743s   ACCEPTED
   25     0.00185484              8   0.000466769    0.000456808   0.00185484        0.0020852   T=0.651512s   ACCEPTED
   26      0.0020852            6.4   0.000456808     0.00044595    0.0020852       0.00177443   T=0.884384s   ACCEPTED
   27     0.00177443              8   0.00044595    0.000437147   0.00177443        0.0020031   T=0.665032s   ACCEPTED
   28      0.0020031            6.4   0.000437147    0.000427334    0.0020031       0.00170333   T=0.870882s   ACCEPTED
   29     0.00170333              8   0.000427334    0.000419468   0.00170333       0.00192948   T=0.653107s   ACCEPTED
   30     0.00192948            6.4   0.000419468    0.000410529   0.00192948       0.00163968   T=0.880933s   ACCEPTED
   31     0.00163968              8   0.000410529    0.000403441   0.00163968       0.00186291   T=0.666429s   ACCEPTED
   32     0.00186291            6.4   0.000403441    0.000395248   0.00186291       0.00158214   T=0.883724s   ACCEPTED
   33     0.00158214              8   0.000395248    0.000388821   0.00158214       0.00180232   T=0.655435s   ACCEPTED
   34     0.00180232            6.4   0.000388821    0.000381274   0.00180232       0.00152976   T=0.866768s   ACCEPTED
   35     0.00152976              8   0.000381274    0.000375419   0.00152976       0.00174692   T=0.659677s   ACCEPTED
   36     0.00174692            6.4   0.000375419    0.000368437   0.00174692       0.00148182   T=0.90889s   ACCEPTED
   37     0.00148182              8   0.000368437    0.000363085   0.00148182       0.00169611   T=0.651308s   ACCEPTED
   38     0.00169611            6.4   0.000363085    0.000356605   0.00169611       0.00143778   T=0.886928s   ACCEPTED
   39     0.00143778            6.4   0.000356605    0.000350815   0.00143778       0.00124615   T=0.881058s   ACCEPTED
   40     0.00124615              8   0.000350815    0.000345654   0.00124615       0.00139557   T=0.660089s   ACCEPTED
   41     0.00139557            6.4   0.000345654    0.000340269   0.00139557       0.00120868   T=0.902423s   ACCEPTED
   42     0.00120868              8   0.000340269    0.000335503   0.00120868       0.00135661   T=0.682973s   ACCEPTED
   43     0.00135661            6.4   0.000335503    0.000330484   0.00135661         0.001174   T=0.887702s   ACCEPTED
   44       0.001174              8   0.000330484    0.000326074     0.001174       0.00132062   T=0.66413s   ACCEPTED
   45     0.00132062            6.4   0.000326074    0.000321383   0.00132062       0.00114187   T=0.895305s   ACCEPTED
   46     0.00114187              8   0.000321383    0.000317297   0.00114187       0.00128735   T=0.667312s   ACCEPTED
   47     0.00128735            6.4   0.000317297    0.000312904   0.00128735       0.00111207   T=0.888413s   ACCEPTED
   48     0.00111207              8   0.000312904    0.000309112   0.00111207        0.0012566   T=0.666412s   ACCEPTED
   49      0.0012566            6.4   0.000309112     0.00030499    0.0012566       0.00108443   T=0.89231s   ACCEPTED
   50     0.00108443              8   0.00030499    0.000301466   0.00108443       0.00122819   T=0.665034s   ACCEPTED
   51     0.00122819            6.4   0.000301466     0.00029759   0.00122819       0.00105881   T=0.894409s   ACCEPTED
   52     0.00105881              8   0.00029759     0.00029431   0.00105881       0.00120196   T=0.67045s   ACCEPTED
   53     0.00120196            6.4   0.00029431    0.000290659   0.00120196       0.00103506   T=0.905846s   ACCEPTED
   54     0.00103506              8   0.000290659    0.000287604   0.00103506       0.00117777   T=0.667993s   ACCEPTED
   55     0.00117777            6.4   0.000287604    0.000284157   0.00117777       0.00101306   T=0.88882s   ACCEPTED
   56     0.00101306              8   0.000284157    0.000281307   0.00101306       0.00115549   T=0.659508s   ACCEPTED
   57     0.00115549            6.4   0.000281307    0.000278048   0.00115549      0.000992721   T=0.907044s   ACCEPTED
   58    0.000992721              8   0.000278048    0.000275387   0.000992721       0.00113501   T=0.668926s   ACCEPTED
   59     0.00113501            6.4   0.000275387    0.000272299   0.00113501      0.000973936   T=0.892923s   ACCEPTED
   60    0.000973936              8   0.000272299    0.000269813   0.000973936       0.00111622   T=0.662827s   ACCEPTED
   61     0.00111622            6.4   0.000269813     0.00026688   0.00111622      0.000956619   T=0.887537s   ACCEPTED
   62    0.000956619              8   0.00026688    0.000264554   0.000956619       0.00109903   T=0.670016s   ACCEPTED
   63     0.00109903            6.4   0.000264554    0.000261765   0.00109903       0.00094069   T=0.871875s   ACCEPTED
   64     0.00094069              8   0.000261765    0.000259588   0.00094069       0.00108336   T=0.679621s   ACCEPTED
