 Iter     h_norm         step size         Cost         New_Cost       r_norm     r_new_norm      T_time        Status
    1      0.0583349              1    0.0448569      0.0415349    0.0583349        0.0555637   T=2.89155s   ACCEPTED
    2      0.0555637              1    0.0415349      0.0385206    0.0555637        0.0529388   T=3.06834s   ACCEPTED
    3      0.0529388              1    0.0385206       0.035784    0.0529388        0.0504533   T=3.3875s   ACCEPTED
    4      0.0504533              1     0.035784      0.0332979    0.0504533        0.0481006   T=3.04705s   ACCEPTED
    5      0.0481006              1    0.0332979      0.0310379    0.0481006        0.0458744   T=3.28669s   ACCEPTED
    6      0.0458744              1    0.0310379      0.0289819    0.0458744        0.0437687   T=3.10268s   ACCEPTED
    7      0.0437687              1    0.0289819      0.0271099    0.0437687        0.0417776   T=3.01979s   ACCEPTED
    8      0.0417776              1    0.0271099      0.0254039    0.0417776        0.0398955   T=3.48569s   ACCEPTED
    9      0.0398955              1    0.0254039      0.0238479    0.0398955         0.038117   T=3.0934s   ACCEPTED
   10       0.038117              1    0.0238479      0.0224271     0.038117         0.036437   T=3.50266s   ACCEPTED
   11       0.036437              1    0.0224271      0.0211284     0.036437        0.0348505   T=3.32667s   ACCEPTED
   12      0.0348505              1    0.0211284      0.0199401    0.0348505        0.0333528   T=3.51018s   ACCEPTED
   13      0.0333528              1    0.0199401      0.0188513    0.0333528        0.0319393   T=3.02119s   ACCEPTED
   14      0.0319393              1    0.0188513      0.0178526    0.0319393        0.0306056   T=3.30482s   ACCEPTED
   15      0.0306056              1    0.0178526      0.0169352    0.0306056        0.0293477   T=3.11658s   ACCEPTED
   16      0.0293477              1    0.0169352      0.0160914    0.0293477        0.0281614   T=3.0712s   ACCEPTED
   17      0.0281614              1    0.0160914      0.0153142    0.0281614        0.0270429   T=3.14803s   ACCEPTED
   18      0.0270429              1    0.0153142      0.0145972    0.0270429        0.0259887   T=2.9577s   ACCEPTED
   19      0.0259887              1    0.0145972      0.0139348    0.0259887        0.0249951   T=3.10629s   ACCEPTED
   20      0.0249951              1    0.0139348      0.0133218    0.0249951        0.0240588   T=3.214s   ACCEPTED
   21      0.0240588              1    0.0133218      0.0127536    0.0240588        0.0231766   T=3.32236s   ACCEPTED
   22      0.0231766              1    0.0127536      0.0122261    0.0231766        0.0223455   T=2.95825s   ACCEPTED
   23      0.0223455              1    0.0122261      0.0117356    0.0223455        0.0215624   T=3.26557s   ACCEPTED
   24      0.0215624              1    0.0117356      0.0112787    0.0215624        0.0208247   T=3.25673s   ACCEPTED
   25      0.0208247              1    0.0112787      0.0108523    0.0208247        0.0201296   T=3.20133s   ACCEPTED
   26      0.0201296              1    0.0108523      0.0104537    0.0201296        0.0194746   T=3.3132s   ACCEPTED
   27      0.0194746              1    0.0104537      0.0100805    0.0194746        0.0188573   T=3.67319s   ACCEPTED
   28      0.0188573              1    0.0100805     0.00973046    0.0188573        0.0182754   T=3.91566s   ACCEPTED
   29      0.0182754              1   0.00973046     0.00940151    0.0182754        0.0177267   T=3.9269s   ACCEPTED
   30      0.0177267              1   0.00940151      0.0090919    0.0177267        0.0172092   T=3.9347s   ACCEPTED
   31      0.0172092              1    0.0090919     0.00879998    0.0172092        0.0167208   T=3.59458s   ACCEPTED
   32      0.0167208              1   0.00879998     0.00852428    0.0167208        0.0162597   T=3.57284s   ACCEPTED
   33      0.0162597              1   0.00852428     0.00826346    0.0162597        0.0158242   T=3.95874s   ACCEPTED
   34      0.0158242              1   0.00826346     0.00801634    0.0158242        0.0154125   T=4.04969s   ACCEPTED
   35      0.0154125              1   0.00801634     0.00778182    0.0154125        0.0150232   T=3.11926s   ACCEPTED
   36      0.0150232              1   0.00778182     0.00755891    0.0150232        0.0146548   T=2.92592s   ACCEPTED
   37      0.0146548              1   0.00755891     0.00734672    0.0146548        0.0143058   T=2.89182s   ACCEPTED
   38      0.0143058              1   0.00734672     0.00714445    0.0143058         0.013975   T=3.04618s   ACCEPTED
   39       0.013975              1   0.00714445     0.00695136     0.013975        0.0136611   T=3.10644s   ACCEPTED
   40      0.0136611              1   0.00695136     0.00676679    0.0136611         0.013363   T=3.1998s   ACCEPTED
   41       0.013363              1   0.00676679     0.00659012     0.013363        0.0130796   T=3.60291s   ACCEPTED
   42      0.0130796              1   0.00659012     0.00642082    0.0130796          0.01281   T=2.99897s   ACCEPTED
   43        0.01281              1   0.00642082     0.00625838      0.01281        0.0125531   T=3.69032s   ACCEPTED
   44      0.0125531              1   0.00625838     0.00610235    0.0125531        0.0123082   T=2.95797s   ACCEPTED
   45      0.0123082              1   0.00610235     0.00595231    0.0123082        0.0120743   T=3.21011s   ACCEPTED
   46      0.0120743              1   0.00595231     0.00580788    0.0120743        0.0118508   T=3.58886s   ACCEPTED
   47      0.0118508              1   0.00580788     0.00566871    0.0118508         0.011637   T=3.2774s   ACCEPTED
   48       0.011637              1   0.00566871     0.00553449     0.011637        0.0114321   T=3.51522s   ACCEPTED
   49      0.0114321              1   0.00553449     0.00540493    0.0114321        0.0112356   T=3.65305s   ACCEPTED
   50      0.0112356              1   0.00540493     0.00527975    0.0112356         0.011047   T=3.29401s   ACCEPTED
   51       0.011047              1   0.00527975     0.00515872     0.011047        0.0108656   T=3.10083s   ACCEPTED
   52      0.0108656              1   0.00515872     0.00504162    0.0108656         0.010691   T=3.03451s   ACCEPTED
   53       0.010691              1   0.00504162     0.00492822     0.010691        0.0105229   T=3.95801s   ACCEPTED
   54      0.0105229              1   0.00492822     0.00481835    0.0105229        0.0103606   T=5.23926s   ACCEPTED
   55      0.0103606              1   0.00481835     0.00471182    0.0103606         0.010204   T=3.75684s   ACCEPTED
   56       0.010204              1   0.00471182     0.00460848     0.010204        0.0100526   T=3.50046s   ACCEPTED
   57      0.0100526              1   0.00460848     0.00450816    0.0100526       0.00990603   T=3.49079s   ACCEPTED
   58     0.00990603              1   0.00450816     0.00441074   0.00990603       0.00976408   T=3.85169s   ACCEPTED
   59     0.00976408              1   0.00441074     0.00431608   0.00976408       0.00962644   T=4.22925s   ACCEPTED
   60     0.00962644              1   0.00431608     0.00422405   0.00962644       0.00949285   T=3.44865s   ACCEPTED
   61     0.00949285              1   0.00422405     0.00413456   0.00949285       0.00936307   T=3.78802s   ACCEPTED
